fire_id,a,b,ha,yr
1,97.01473236083984,94.1263198852539,0.04,2021
2,26.71727752685547,1.4311522245407104,0.01,2021
3,22.980409622192383,2.485328197479248,0.01,2021
4,28.86119270324707,13.271761894226074,0.05,2021
5,10.932942390441895,5.620530128479004,0.13,2021
7,21.307470321655273,9.722250938415527,0.01,2021
8,25.998821258544922,0.4123689830303192,1.2,2021
10,51.197696685791016,14.574894905090332,0.1,2021
12,56.95676803588867,81.9536361694336,0.01,2021
13,72.90657806396484,86.51736450195312,0.03,2021
14,51.065765380859375,87.95647430419922,0.2,2021
15,6.482544898986816,8.635737419128418,0.02,2021
16,0.019835470244288445,1.308097004890442,1.4,2021
17,42.83853530883789,95.63125610351562,0.05,2021
18,76.29925537109375,94.4884262084961,0.01,2021
21,,,0.1,2021
22,71.37032318115234,77.6563949584961,0.01,2021
23,41.7199821472168,80.22866821289062,0.01,2021
24,14.791062355041504,29.639572143554688,0.03,2021
25,30.407012939453125,20.246971130371094,0.3,2021
28,4.387392044067383,3.109193801879883,10.0,2021
29,54.085662841796875,34.500118255615234,0.05,2021
30,0.32222601771354675,1.223623275756836,0.01,2021
31,4.623708248138428,9.83050537109375,0.04,2021
32,63.826866149902344,51.22492980957031,0.17,2021
33,8.46613597869873,42.08313751220703,0.1,2021
35,22.60543441772461,69.07987976074219,0.1,2021
38,49.0053825378418,44.62334442138672,0.01,2021
39,3.167163133621216,1.9127273559570312,0.03,2021
40,3.513673782348633,14.623160362243652,0.03,2021
41,58.11792755126953,63.45032501220703,1.5,2021
42,10.757230758666992,23.074934005737305,0.01,2021
43,77.40840148925781,90.1982192993164,0.09,2021
46,16.565654754638672,54.825164794921875,0.01,2021
47,3.401129722595215,65.99993133544922,0.3,2021
50,85.70899200439453,47.20376205444336,2.0,2021
54,51.74155044555664,27.350276947021484,0.01,2021
55,72.89424896240234,95.41506958007812,0.06,2021
56,4.8684844970703125,29.213294982910156,0.3,2021
57,13.916213035583496,7.568625450134277,0.1,2021
58,,,0.02,2021
60,96.04643249511719,39.836238861083984,0.03,2021
61,7.086741924285889,38.30575942993164,1.0,2021
67,36.74382781982422,65.00332641601562,0.33,2021
68,67.5647964477539,70.39636993408203,0.1,2021
69,46.016353607177734,25.965744018554688,1.0,2021
71,4.645054817199707,23.458086013793945,0.1,2021
73,,,2.0,2021
75,5.060947895050049,57.794803619384766,0.05,2021
76,46.06930160522461,25.369468688964844,20.0,2021
77,29.79563331604004,38.05154037475586,0.2,2021
78,24.204057693481445,13.105880737304688,4.4,2021
79,28.63109588623047,41.60624313354492,0.1,2021
80,1.157667636871338,4.293972015380859,0.03,2021
81,24.822460174560547,20.014118194580078,0.3,2021
84,,,0.7,2021
85,44.805213928222656,33.20356369018555,0.03,2021
88,35.03700256347656,44.83035659790039,0.03,2021
90,10.268287658691406,49.0311164855957,0.2,2021
92,82.92332458496094,82.68133544921875,0.13,2021
93,,,0.3,2021
94,30.424596786499023,79.67350006103516,0.4,2021
95,4.168051719665527,10.640844345092773,0.01,2021
96,4.013777732849121,43.896942138671875,0.5,2021
98,85.09889221191406,14.773530960083008,0.01,2021
99,63.629356384277344,44.87580108642578,0.5,2021
100,61.68306350708008,32.79726028442383,0.05,2021
102,67.7285385131836,83.91439056396484,0.02,2021
104,4.509507656097412,21.647705078125,0.1,2021
105,9.534038543701172,6.140504360198975,0.16,2021
