fold,test_year,prow,pcol,year,month,day,hour,sample_type,y_true_t1,y_prob_t1,y_true_t2,y_prob_t2,y_true_t3,y_prob_t3
1,2021,674,1080,2021,5,3,12,pre_ignition,0,0.028463593,0,0.03178125,1,0.0249603
1,2021,729,1089,2021,5,3,12,pre_ignition,1,0.04896594,0,0.04917708,0,0.037907727
1,2021,729,1089,2021,5,3,11,pre_ignition,0,0.057114653,1,0.06671283,0,0.057504997
1,2021,729,1089,2021,5,3,10,pre_ignition,0,0.037517477,0,0.054259848,1,0.05851288
1,2021,1040,1359,2021,4,30,12,pre_ignition,1,0.051713936,0,0.05182358,0,0.04445716
1,2021,1040,1359,2021,4,30,11,pre_ignition,0,0.04188781,1,0.04624117,0,0.04320786
1,2021,1040,1359,2021,4,30,10,pre_ignition,0,0.023466418,0,0.030962707,1,0.035216562
1,2021,862,1182,2021,4,30,4,pre_ignition,1,0.014826458,0,0.019115036,0,0.021573916
1,2021,862,1182,2021,4,30,3,pre_ignition,0,0.0055468753,1,0.008729323,0,0.012894974
1,2021,862,1182,2021,4,30,2,pre_ignition,0,0.0022375444,0,0.0037806376,1,0.006856562
1,2021,989,1233,2021,4,29,13,pre_ignition,1,0.12204736,0,0.10464738,0,0.07620062
1,2021,989,1233,2021,4,29,12,pre_ignition,0,0.11280903,1,0.10871571,0,0.08533554
1,2021,989,1233,2021,4,29,11,pre_ignition,0,0.09084216,0,0.104248516,1,0.09392987
1,2021,981,1109,2021,4,29,13,pre_ignition,1,0.02905961,0,0.025070474,0,0.019478971
1,2021,981,1109,2021,4,29,12,pre_ignition,0,0.04682552,1,0.040290374,0,0.030454006
1,2021,981,1109,2021,4,29,11,pre_ignition,0,0.06541174,0,0.064299375,1,0.05057186
1,2021,718,1342,2021,4,29,12,pre_ignition,1,0.12220775,0,0.10650378,0,0.08197412
1,2021,718,1342,2021,4,29,11,pre_ignition,0,0.15611628,1,0.15519564,0,0.127322
1,2021,718,1342,2021,4,29,10,pre_ignition,0,0.086587824,0,0.111394,1,0.11550459
1,2021,522,1288,2021,4,27,12,pre_ignition,1,0.12761071,0,0.11449969,0,0.08398073
1,2021,522,1288,2021,4,27,11,pre_ignition,0,0.13354443,1,0.1329867,0,0.10405301
1,2021,522,1288,2021,4,27,10,pre_ignition,0,0.103875704,0,0.1247819,1,0.114782296
1,2021,1049,1199,2021,4,26,16,pre_ignition,1,0.058639757,0,0.05501364,0,0.045750074
1,2021,1049,1199,2021,4,26,15,pre_ignition,0,0.07370766,1,0.066974655,0,0.05362324
1,2021,1049,1199,2021,4,26,14,pre_ignition,0,0.08734031,0,0.0796493,1,0.06306696
1,2021,1078,1291,2021,4,25,20,pre_ignition,1,0.04075439,0,0.034914516,0,0.028806679
1,2021,1078,1291,2021,4,25,19,pre_ignition,0,0.058682192,1,0.04708096,0,0.036199603
1,2021,1078,1291,2021,4,25,18,pre_ignition,0,0.07553217,0,0.059702963,1,0.04426967
1,2021,1182,1191,2021,4,25,17,pre_ignition,1,0.013757102,0,0.017351216,0,0.021341298
1,2021,1182,1191,2021,4,25,16,pre_ignition,0,0.015463249,1,0.018496307,0,0.021456387
1,2021,1182,1191,2021,4,25,15,pre_ignition,0,0.020166885,0,0.022126988,1,0.023217268
1,2021,742,1225,2021,4,25,15,pre_ignition,1,0.09772284,0,0.08402024,0,0.059394516
1,2021,742,1225,2021,4,25,14,pre_ignition,0,0.10058395,1,0.086762704,0,0.06222611
1,2021,742,1225,2021,4,25,13,pre_ignition,0,0.11068171,0,0.09607252,1,0.06969228
1,2021,708,1118,2021,4,25,15,pre_ignition,1,0.1146234,0,0.100229695,0,0.07693906
1,2021,708,1118,2021,4,25,14,pre_ignition,0,0.13300474,1,0.115793064,0,0.088259
1,2021,708,1118,2021,4,25,13,pre_ignition,0,0.15551935,0,0.13512328,1,0.102750055
1,2021,698,1276,2021,4,25,13,pre_ignition,1,0.09971427,0,0.094395414,0,0.073044844
1,2021,698,1276,2021,4,25,12,pre_ignition,0,0.09161408,1,0.09056112,0,0.07482583
1,2021,698,1276,2021,4,25,11,pre_ignition,0,0.08014815,0,0.0840234,1,0.07552228
1,2021,969,1129,2021,4,25,12,pre_ignition,1,0.16121267,0,0.14414817,0,0.11036909
1,2021,969,1129,2021,4,25,11,pre_ignition,0,0.21617576,1,0.21866189,0,0.18133782
1,2021,969,1129,2021,4,25,10,pre_ignition,0,0.17377031,0,0.20326005,1,0.20740886
1,2021,612,1324,2021,4,25,11,pre_ignition,1,0.0512493,0,0.06171713,0,0.06525323
1,2021,612,1324,2021,4,25,10,pre_ignition,0,0.027839037,1,0.039164018,0,0.049570195
1,2021,612,1324,2021,4,25,9,pre_ignition,0,0.013885203,0,0.02177072,1,0.03309608
1,2021,842,1000,2021,4,25,10,pre_ignition,1,0.13644536,0,0.15126595,0,0.13696915
1,2021,842,1000,2021,4,25,9,pre_ignition,0,0.049025252,1,0.07197284,0,0.09178677
1,2021,842,1000,2021,4,25,8,pre_ignition,0,0.017833281,0,0.029914344,1,0.049486622
1,2021,790,1407,2021,4,24,13,pre_ignition,1,0.101566255,0,0.092357956,0,0.07111245
1,2021,790,1407,2021,4,24,12,pre_ignition,0,0.12034546,1,0.11443421,0,0.09043879
1,2021,790,1407,2021,4,24,11,pre_ignition,0,0.14159918,0,0.14830424,1,0.12438554
1,2021,937,1432,2021,4,24,13,pre_ignition,1,0.10631416,0,0.10088074,0,0.08317458
1,2021,937,1432,2021,4,24,12,pre_ignition,0,0.14007136,1,0.13887723,0,0.1172744
1,2021,937,1432,2021,4,24,11,pre_ignition,0,0.15160276,0,0.16606532,1,0.15378721
1,2021,850,1373,2021,4,24,8,pre_ignition,1,0.02447354,0,0.041489154,0,0.066989705
1,2021,850,1373,2021,4,24,7,pre_ignition,0,0.019497413,1,0.03325512,0,0.054497983
1,2021,850,1373,2021,4,24,6,pre_ignition,0,0.01732371,0,0.029279348,1,0.04695238
1,2021,1234,1175,2021,4,23,18,pre_ignition,1,0.056984752,0,0.043545492,0,0.028468728
1,2021,1234,1175,2021,4,23,17,pre_ignition,0,0.0793352,1,0.059854854,0,0.03771583
1,2021,1234,1175,2021,4,23,16,pre_ignition,0,0.08828728,0,0.06710927,1,0.0421093
1,2021,808,1337,2021,4,23,15,pre_ignition,1,0.06328585,0,0.06432335,0,0.05597617
1,2021,808,1337,2021,4,23,14,pre_ignition,0,0.05440422,1,0.05420851,0,0.04839265
1,2021,808,1337,2021,4,23,13,pre_ignition,0,0.059985984,0,0.060038485,1,0.0529668
1,2021,1303,1143,2021,4,23,9,pre_ignition,1,0.0468308,0,0.040143967,0,0.029966174
1,2021,1303,1143,2021,4,23,8,pre_ignition,0,0.044666357,1,0.038752545,0,0.029346101
1,2021,1303,1143,2021,4,23,7,pre_ignition,0,0.051070612,0,0.04381697,1,0.032376777
1,2021,1125,1141,2021,4,23,9,pre_ignition,1,0.087887615,0,0.08028097,0,0.062642716
1,2021,1125,1141,2021,4,23,8,pre_ignition,0,0.06636506,1,0.061629657,0,0.050387345
1,2021,1125,1141,2021,4,23,7,pre_ignition,0,0.0783808,0,0.07208557,1,0.057712525
1,2021,1181,1457,2021,4,23,8,pre_ignition,1,0.062216524,0,0.09821335,0,0.15960978
1,2021,1181,1457,2021,4,23,7,pre_ignition,0,0.062216524,1,0.09821335,0,0.15960978
1,2021,1181,1457,2021,4,23,6,pre_ignition,0,0.062216524,0,0.09821335,1,0.15960978
1,2021,716,1039,2021,4,22,16,pre_ignition,1,0.08825544,0,0.06257708,0,0.042287655
1,2021,716,1039,2021,4,22,15,pre_ignition,0,0.091482595,1,0.0650982,0,0.044344176
1,2021,716,1039,2021,4,22,14,pre_ignition,0,0.114712566,0,0.08529851,1,0.058344033
1,2021,880,1046,2021,4,22,14,pre_ignition,1,0.24749646,0,0.21016555,0,0.13671131
1,2021,880,1046,2021,4,22,13,pre_ignition,0,0.2561278,1,0.22270235,0,0.14838192
1,2021,880,1046,2021,4,22,12,pre_ignition,0,0.25353366,0,0.2299827,1,0.1596083
1,2021,1052,1203,2021,4,22,12,pre_ignition,1,0.22015093,0,0.1960714,0,0.13354504
1,2021,1052,1203,2021,4,22,11,pre_ignition,0,0.17208637,1,0.16459416,0,0.120040074
1,2021,1052,1203,2021,4,22,10,pre_ignition,0,0.060096294,0,0.06503786,1,0.058015604
1,2021,469,1133,2021,4,22,12,pre_ignition,1,0.08265866,0,0.07155466,0,0.053551722
1,2021,469,1133,2021,4,22,11,pre_ignition,0,0.07714775,1,0.07359136,0,0.05890792
1,2021,469,1133,2021,4,22,10,pre_ignition,0,0.053514127,0,0.05813024,1,0.05338582
1,2021,894,994,2021,4,21,13,pre_ignition,1,0.072346106,0,0.059158266,0,0.040772624
1,2021,894,994,2021,4,21,12,pre_ignition,0,0.08861544,1,0.07789254,0,0.05464754
1,2021,894,994,2021,4,21,11,pre_ignition,0,0.064199224,0,0.06396565,1,0.05078777
1,2021,609,1384,2021,4,21,11,pre_ignition,1,0.31501615,0,0.30443907,0,0.24028431
1,2021,609,1384,2021,4,21,10,pre_ignition,0,0.17805864,1,0.20269729,0,0.18784651
1,2021,609,1384,2021,4,21,9,pre_ignition,0,0.05606123,0,0.08399969,1,0.104251
1,2021,765,1476,2021,3,27,10,pre_ignition,1,0.08809837,0,0.1022081,0,0.10002004
1,2021,765,1476,2021,3,27,9,pre_ignition,0,0.04973021,1,0.06529102,0,0.07446112
1,2021,765,1476,2021,3,27,8,pre_ignition,0,0.033928137,0,0.04823435,1,0.06162455
1,2021,831,1312,2021,3,26,18,pre_ignition,1,0.11711047,0,0.09526027,0,0.060866803
1,2021,831,1312,2021,3,26,17,pre_ignition,0,0.1251137,1,0.10145488,0,0.06470798
1,2021,831,1312,2021,3,26,16,pre_ignition,0,0.13689473,0,0.11067747,1,0.0706695
1,2021,708,1118,2021,3,26,17,pre_ignition,1,0.24498037,0,0.21078214,0,0.1394638
1,2021,708,1118,2021,3,26,16,pre_ignition,0,0.27995098,1,0.23928012,0,0.1611709
1,2021,708,1118,2021,3,26,15,pre_ignition,0,0.32617003,0,0.2832919,1,0.19884019
1,2021,1143,1019,2021,3,26,12,pre_ignition,1,0.124139726,0,0.12920123,0,0.10488261
1,2021,1143,1019,2021,3,26,11,pre_ignition,0,0.06450632,1,0.08714662,0,0.090451345
1,2021,1143,1019,2021,3,26,10,pre_ignition,0,0.028454999,0,0.044731557,1,0.06011221
1,2021,1016,1236,2021,3,26,11,pre_ignition,1,0.14352894,0,0.13850185,0,0.107471734
1,2021,1016,1236,2021,3,26,10,pre_ignition,0,0.08864929,1,0.09441777,0,0.08316632
1,2021,1016,1236,2021,3,26,9,pre_ignition,0,0.053232495,0,0.06011654,1,0.059738323
1,2021,696,1142,2021,3,25,20,pre_ignition,1,0.012246967,0,0.012812841,0,0.01266712
