model,fold,test_year,val_year,horizon_h,plgbm,ratio,lr,n_train,n_val,n_test,n_pos_test,auroc,auprc,full_n,full_pos,full_auroc,full_auprc,best_epoch,dropout,seed,fold_sec
CNN,1,2021,2022,1,P_lgbm_r20,20,0.0005,159736,63232,56710,612,0.8651959619219121,0.07722686548731902,283317,612,0.8655559277766276,0.017012541349882143,24,0.2,42,59.8
CNN,1,2021,2022,2,P_lgbm_r20,20,0.0005,159736,63232,56710,433,0.8707249414302177,0.05968633246836719,283317,433,0.8719112189319687,0.013160288719789184,24,0.2,42,60.0
CNN,1,2021,2022,3,P_lgbm_r20,20,0.0005,159736,63232,56710,314,0.8796458324956868,0.05193021235597684,283317,314,0.8813121672248934,0.011675374874701308,24,0.2,42,60.1
CNN,2,2022,2023,1,P_lgbm_r20,20,0.0005,158364,58082,63232,7978,0.944139275830774,0.817761588594424,287749,7978,0.944120869198973,0.6226085385954279,17,0.2,42,47.7
CNN,2,2022,2023,2,P_lgbm_r20,20,0.0005,158364,58082,63232,7296,0.9477890806716134,0.8057032106277923,287749,7296,0.9493501909442124,0.6035028809935133,17,0.2,42,47.9
CNN,2,2022,2023,3,P_lgbm_r20,20,0.0005,158364,58082,63232,6735,0.9533715641378175,0.8023764431407175,287749,6735,0.9557373961490366,0.5887010342092903,17,0.2,42,48.0
CNN,3,2023,2024,1,P_lgbm_r20,20,0.0005,171611,49985,58082,2589,0.8963719474895824,0.3361197319960327,283176,2589,0.8961124253908008,0.10050071472714149,92,0.2,42,160.4
CNN,3,2023,2024,2,P_lgbm_r20,20,0.0005,171611,49985,58082,2185,0.9000194866424185,0.3243396429508055,283176,2185,0.901404311368817,0.10112816565912518,92,0.2,42,160.6
CNN,3,2023,2024,3,P_lgbm_r20,20,0.0005,171611,49985,58082,1861,0.9061701316695786,0.32375250077264855,283176,1861,0.9086016980034171,0.10733576677634564,92,0.2,42,160.7
CNN,4,2024,2025,1,P_lgbm_r20,20,0.0005,178024,51669,49985,401,0.8125499165526004,0.05882821712541081,251399,401,0.8126092310320145,0.012420306631479366,21,0.2,42,52.2
CNN,4,2024,2025,2,P_lgbm_r20,20,0.0005,178024,51669,49985,261,0.7902700300293637,0.0364200996185783,251399,261,0.791085942307856,0.007656260341327639,21,0.2,42,52.3
CNN,4,2024,2025,3,P_lgbm_r20,20,0.0005,178024,51669,49985,172,0.7671376996478457,0.022237857556753494,251399,172,0.7684091247598646,0.004694140922421186,21,0.2,42,52.4
CNN,5,2025,2021,1,P_lgbm_r20,20,0.0005,171299,56710,51669,1734,0.9031962543232386,0.3006072546152159,252952,1734,0.9030779906500833,0.09492854710438262,49,0.2,42,90.2
CNN,5,2025,2021,2,P_lgbm_r20,20,0.0005,171299,56710,51669,1466,0.9078790180081693,0.29121992656247153,252952,1466,0.9089245258787497,0.09562325827473064,49,0.2,42,90.3
CNN,5,2025,2021,3,P_lgbm_r20,20,0.0005,171299,56710,51669,1262,0.9157517946545862,0.2823036810616452,252952,1262,0.9174445770364129,0.09297052629063197,49,0.2,42,90.4
