config,use_seq,n_static,fold,test_year,val_year,horizon_h,plgbm,n_test,n_pos_test,auroc,auprc,f1,csi,pod,far,threshold,epochs_run,best_epoch,stop_reason,fold_sec
A_plgbm_doy,False,3,1,2021,2022,1,P_lgbm_r20,28366,612,0.7845324715603615,0.15778308830009907,0.2646675358539765,0.15251690458302028,0.33169934640522875,0.779826464208243,0.2530907094478607,21,6,early_stop,7.0
A_plgbm_doy,False,3,1,2021,2022,2,P_lgbm_r20,28366,433,0.7816618932022179,0.11964482604815059,0.22337278106508876,0.1257285595337219,0.34872979214780603,0.8356909684439608,0.21416711807250977,21,6,early_stop,7.0
A_plgbm_doy,False,3,1,2021,2022,3,P_lgbm_r20,28366,314,0.772283911316654,0.0653254856789821,0.17298187808896212,0.09467989179440937,0.3343949044585987,0.8833333333333333,0.19416368007659912,21,6,early_stop,7.1
A_plgbm_doy,False,3,2,2022,2023,1,P_lgbm_r20,35827,7978,0.8811537713667161,0.7177245129682244,0.6976109215017064,0.5356394129979035,0.7045625470042617,0.30920486665847363,0.04761596396565437,27,12,early_stop,2.6
A_plgbm_doy,False,3,2,2022,2023,2,P_lgbm_r20,35827,7296,0.883041581002689,0.6827962510822196,0.6803883495145631,0.5155974102413184,0.7203947368421053,0.3554083885209713,0.03705427050590515,27,12,early_stop,2.6
A_plgbm_doy,False,3,2,2022,2023,3,P_lgbm_r20,35827,6735,0.8833912250933501,0.6469900658529242,0.6618889865458725,0.4946443007275667,0.726800296956199,0.3923783515392254,0.03107231669127941,27,12,early_stop,2.6
A_plgbm_doy,False,3,3,2023,2024,1,P_lgbm_r20,30380,2589,0.8556064810253449,0.35612700152851207,0.42739299610894943,0.2717735550277118,0.5303205870992661,0.642075078206465,0.16185809671878815,18,3,early_stop,1.9
A_plgbm_doy,False,3,3,2023,2024,2,P_lgbm_r20,30380,2185,0.8547467518422494,0.2956525121579055,0.3790456119223243,0.2338410104011887,0.5762013729977117,0.7175863615971287,0.14269286394119263,18,3,early_stop,1.9
A_plgbm_doy,False,3,3,2023,2024,3,P_lgbm_r20,30380,1861,0.859505401708212,0.2587837369989117,0.3506950880444856,0.2126320521465498,0.5083288554540569,0.7323146576117714,0.13445799052715302,18,3,early_stop,1.9
A_plgbm_doy,False,3,4,2024,2025,1,P_lgbm_r20,25369,401,0.6571916292255584,0.1380610586690993,0.23714585519412382,0.13452380952380952,0.2817955112219451,0.7952898550724637,0.22481797635555267,17,2,early_stop,1.8
