T,top1pct_인구,top5pct_인구,top1pct_주간인구,top5pct_주간인구,top1pct_고령,top5pct_고령,top5pct_노후주택,wui_top5pct_격자,top10_인구,top10_주간인구,top10_고령,top10_평균위험상위%,max_prob,mean_prob,발화건수,발화_위험상위%
2022-03-05 06:00:00,2314251.1909404024,4271503.155134477,1836521.446223678,3359040.923643763,435716.97093174176,821976.5456415637,411948.7669346329,4836,19229.99008613825,36255.78238209695,3367.0425693163857,0.681,0.3527434170246124,0.025314409285783768,0,
2022-03-05 07:00:00,2097787.5175196454,4611611.860514253,1697772.7863014392,3676042.651817722,403811.92864450754,907145.9343174013,449188.1814854083,4758,17592.726193636656,35767.3458728835,3132.4265102596682,0.716,0.3314637243747711,0.028016570955514908,0,
2022-03-05 08:00:00,2394891.7149640545,6436966.631031141,2009310.2550075923,5184529.996229282,475968.17169643677,1295515.1359064388,646232.6527334317,4398,27545.495536476374,33702.2054026124,5350.016295443418,0.821,0.3362692594528198,0.029774511232972145,1,"충남 당진 nan(0.1ha,t+3h)=32.0%"
2022-03-05 09:00:00,3161809.6924556643,7075337.332940057,2609891.914278402,5632515.557670971,640139.1323277256,1424872.9035126218,725172.0334038598,4680,28331.394334822893,40853.08433201513,5747.194655709563,0.772,0.35175594687461853,0.034894105046987534,1,"충남 당진 nan(0.1ha,t+2h)=23.4%"
2022-03-05 10:00:00,2662153.0871052817,8118304.058248788,2309368.0233292393,6464728.139789356,515107.61179427593,1584176.7097222633,793441.428663894,4783,18389.897897809744,40984.50482954635,3672.7110971134707,0.916,0.3597162067890167,0.04725753888487816,3,"충남 당진 nan(0.1ha,t+1h)=41.5%; 경북 영주 풍기(0.3ha,t+3h)=46.4%; 경기 안산 상록(8.0ha,t+3h)=74.2%"
2022-03-05 11:00:00,2182375.690415032,7378329.274424911,1844127.637133906,5979353.782100717,400033.5090447367,1432953.4192217402,712438.9522102175,4945,13915.551089733839,32467.745553036235,2365.266259917414,0.705,0.36544910073280334,0.05924195423722267,4,"경북 영주 풍기(0.3ha,t+2h)=28.9%; 경기 안산 상록(8.0ha,t+2h)=73.7%; 경북 경주 문무대왕(0.8ha,t+3h)=17.8%; 경남 거창 거창(0.1ha,t+3h)=0.0%"
2022-03-05 12:00:00,2103429.352019377,6589080.897919394,1763586.744532466,5514619.195922914,387305.9898417461,1283294.5349734873,646809.6179444594,4981,14687.801659166813,34146.8649111065,2501.1914521237186,0.821,0.36464905738830566,0.06629180163145065,6,"경북 영주 풍기(0.3ha,t+1h)=13.2%; 경기 안산 상록(8.0ha,t+1h)=78.6%; 경북 경주 문무대왕(0.8ha,t+2h)=12.3%; 경남 거창 거창(0.1ha,t+2h)=0.1%; 충남 당진 송산(5.0ha,t+3h)=96.6%; 충남 청양 남양(0.02ha,t+3h)=90.2%"
2022-03-05 13:00:00,1967409.174492605,6290207.323074721,1650055.70339749,5198714.752728568,365615.83767983626,1216616.9546557823,617930.0506954778,4963,15362.927583098412,30200.84423022421,2765.7735017970735,0.924,0.37098416686058044,0.06783880293369293,5,"경북 경주 문무대왕(0.8ha,t+1h)=7.0%; 경남 거창 거창(0.1ha,t+1h)=0.1%; 충남 당진 송산(5.0ha,t+2h)=95.5%; 충남 청양 남양(0.02ha,t+2h)=93.0%; 경남 밀양 무안(0.01ha,t+3h)=0.2%"
2022-03-05 14:00:00,1832417.1055692956,6010745.775424652,1573785.244864914,4973858.004031817,350927.7614768988,1177314.0951722655,594853.6399765646,4905,12468.380864053965,28424.946736121245,2240.7266106292323,1.001,0.3732043206691742,0.0656605213880539,3,"충남 당진 송산(5.0ha,t+1h)=93.5%; 충남 청양 남양(0.02ha,t+1h)=94.2%; 경남 밀양 무안(0.01ha,t+2h)=0.2%"
2022-03-05 15:00:00,1791482.4574839696,5646550.297269337,1518906.8973429324,4740279.619762238,347063.0056353465,1109309.0917025004,568891.0180609317,4993,16641.203978180885,21145.521560175453,2813.5412266185463,0.725,0.37155386805534363,0.06155083701014519,1,"경남 밀양 무안(0.01ha,t+1h)=0.3%"
2022-03-05 16:00:00,1751366.0497666225,5421653.106012695,1470575.3064823896,4584349.095794212,338313.2342452012,1060241.3430071382,546203.2149797705,5009,18162.3251273036,25412.899347308703,3213.55312073167,0.877,0.3637103736400604,0.05533068999648094,1,"대구 달성 가창(28.0ha,t+3h)=23.3%"
2022-03-05 17:00:00,1801609.7101332769,5366664.02408082,1536182.7049746462,4539477.828544567,352862.9653029827,1041119.2051749646,532832.377809414,5024,18387.916834294796,24869.055919943974,3359.7994865858805,0.816,0.3549765348434448,0.04769182577729225,1,"대구 달성 가창(28.0ha,t+2h)=26.7%"
2022-03-05 18:00:00,1921017.0220687017,5175384.156736068,1646147.8142285722,4330582.51069896,375857.83731237776,1007678.2514546999,517769.2455848527,4937,22671.411917954683,28705.649366119666,3861.084375792967,1.067,0.34117525815963745,0.03850638493895531,1,"대구 달성 가창(28.0ha,t+1h)=29.2%"
