T,top1pct_인구,top5pct_인구,top1pct_주간인구,top5pct_주간인구,top1pct_고령,top5pct_고령,top5pct_노후주택,wui_top5pct_격자,top10_인구,top10_주간인구,top10_고령,top10_평균위험상위%,max_prob,mean_prob,발화건수,발화_위험상위%
2022-04-08 06:00:00,22310.795518144965,96571.90750922263,19256.69665006367,87697.85467527987,7564.431236138715,30648.7737306619,14446.228808339623,1217,10206.688149601221,8834.732365090887,1914.1676791996845,1.996,0.265693724155426,0.01646079123020172,1,"충남 예산 대흥(0.1ha,t+2h)=42.1%"
2022-04-08 07:00:00,20238.927250757813,167780.0256510228,18276.51652617802,130633.89201847951,6386.855006868627,41340.33484252766,15539.067732711917,1375,12527.13095909357,9986.220550111122,2133.5634301648824,1.832,0.26096028089523315,0.019259851425886154,2,"충남 예산 대흥(0.1ha,t+1h)=46.1%; 경남 창원 의창(0.05ha,t+3h)=91.4%"
2022-04-08 08:00:00,31954.519737377763,443578.3742889911,26222.173906053853,377768.22093703726,9029.924119234176,92556.72533938852,33531.640161174284,1452,11319.561949163675,9002.695175196872,1918.0652438155983,0.955,0.2863580286502838,0.02471819706261158,2,"경남 창원 의창(0.05ha,t+2h)=85.6%; 전남 보성 보성(0.1ha,t+3h)=91.7%"
2022-04-08 09:00:00,1416255.24429214,6066155.436068669,1152266.472101998,4728580.649045023,266794.1638007772,1067529.711223476,477447.34456836793,3182,23683.42700189352,20925.243033521834,4568.816976877235,0.562,0.3462215065956116,0.05267087742686272,2,"경남 창원 의창(0.05ha,t+1h)=44.1%; 전남 보성 보성(0.1ha,t+2h)=89.9%"
2022-04-08 10:00:00,897310.6745087504,5583408.387628764,752070.2880651806,4417115.173621383,166105.95521490806,932233.4051400458,424342.09027968044,4040,21103.955763697624,20677.740928011164,2999.7516402642586,0.796,0.39504581689834595,0.11905232816934586,1,"전남 보성 보성(0.1ha,t+1h)=33.2%"
2022-04-08 11:00:00,675227.3898761272,4381784.707273573,603489.7689305939,3637225.939353496,135767.10143181097,789368.1827824636,369007.11012649996,3910,18676.62987652421,19125.899173906895,2516.681212524117,0.606,0.41142037510871887,0.15131007134914398,0,
2022-04-08 12:00:00,484516.17454746366,3482191.4778146595,445029.80330611527,3079510.542920594,98092.84008663842,653992.8227101585,308071.995304196,3813,17294.385388970375,18636.78307613131,2500.605452568799,0.646,0.4078673720359802,0.1472538560628891,0,
2022-04-08 13:00:00,459948.8021707535,3124748.569398865,430379.2629901377,2946821.857151284,95605.9208517565,599397.5156684432,279013.54333692626,3516,18428.7992747128,20674.641325734632,2779.908724670444,0.79,0.4059503972530365,0.1279619336128235,0,
2022-04-08 14:00:00,448981.98242482543,3908676.6005310267,414291.75586115365,3756459.6105042417,92091.75702514901,741014.0074338855,342743.3683125889,3095,20211.59832805395,23969.767690978722,2894.600629660022,0.916,0.3984634280204773,0.10561877489089966,2,"전북 nan 성송(0.09ha,t+3h)=61.7%; 전북 남원 산내(0.09ha,t+3h)=10.4%"
2022-04-08 15:00:00,477960.3622099757,4682904.133282378,445594.32185920863,4381795.037305726,98184.92700110459,894771.7311709551,414933.53977723076,3150,22445.90676611662,29970.393972422582,3183.332048447901,0.8,0.37924814224243164,0.08942341804504395,2,"전북 nan 성송(0.09ha,t+2h)=57.8%; 전북 남원 산내(0.09ha,t+2h)=14.6%"
2022-04-08 16:00:00,502881.15783020854,4136104.9147495925,469020.2315506392,3679166.808793824,104150.14463857749,802519.6052280485,380869.2037424314,3323,16215.524641484022,21536.941120097916,2391.009932582928,0.805,0.3693987727165222,0.07852749526500702,2,"전북 nan 성송(0.09ha,t+1h)=56.7%; 전북 남원 산내(0.09ha,t+1h)=20.7%"
2022-04-08 17:00:00,513369.433960855,4131060.3929727226,479430.5434000609,3515704.13857641,105659.86500689361,788471.8685739513,399111.822839661,3563,15760.860421687365,17588.21994924154,2238.4814350589163,0.669,0.3488846719264984,0.06956636160612106,0,
2022-04-08 18:00:00,549374.825469315,4494003.68764253,501081.3561771048,3743120.1163044837,111955.09520451972,851293.1065248989,431241.4587179151,3791,15353.33993601799,17087.49879778396,2198.0545715299186,0.601,0.37331733107566833,0.05918001011013985,0,
