prow,pcol,pop_total,households,houses,low_count_only,adm_cd,adm_nm,day_idx,old_ratio,avg_age,oldage_suprt_per,old_per_health,old_house_ratio,pop_day,pop_old,old_house,pop_expo,forest_ratio,is_wui,expo_rank,T,vpd,wind,hum4d,prcp4d,ndmi,y_prob_t1,haz_rank_t1,haz_top_t1,y_prob_t2,haz_rank_t2,haz_top_t2,y_prob_t3,haz_rank_t3,haz_top_t3,score_t1,occ_h00,occ_h01,occ_h02,occ_h03,occ_h04,occ_h05,occ_h06,occ_h07,occ_h08,occ_h09,occ_h10,occ_h11,occ_P_lgbm,occ_ndvi,occ_ndmi,occ_hum4d,occ_prcp4d,occ_doy_sin,occ_doy_cos,rank
638,1083,3032.0634860396385,1412.41632476449,1252.4955865442753,False,11030740,한남동,1.4078389261744966,0.1867919463087248,45.1,25.5,76.38,0.1897886275677285,4268.657002278946,566.3650398889612,237.70941840487512,4268.657002278946,0.57,True,99.66260520346567,2023-04-03 06:00:00,8.329103,1.2,30.876024,0.0,-0.0476,0.09269131,98.1213378384158,1.878662161584188,0.08177434,95.84732261237755,4.1526773876224325,0.07518627,89.89216671656473,10.10783328343527,98.89197152094074,-0.0010593534,-0.001109615,-0.0010683611,-0.0007816851,-0.00030242652,-0.00020269305,0.0012033284,0.0052388385,0.016969755,0.013493143,-0.026209377,-0.09980389,0.03050511,0.0031506196,-0.00022062659,0.031709194,0.0,0.0,0.0,1
676,1133,1556.2416589558125,569.7544569969177,572.033957451582,False,31250120,초월읍,0.7953819982032609,0.1501806296232582,42.6,20.3,260.91,0.0363050098525108,1237.806600387432,233.7173521879278,20.76769846125048,1237.806600387432,0.57,True,97.6139420156922,2023-04-03 06:00:00,10.643376,0.4,24.871061,0.0,-0.1674,0.11968505,99.892006329926,0.1079936700739949,0.10392793,99.70328471836106,0.2967152816389387,0.09507207,97.88797527907276,2.112024720927252,98.7529741728091,-0.0009084046,-0.0014765114,-0.0017554462,-0.0008972287,0.0001520142,0.00014975667,0.002194956,0.00744386,0.01286079,0.010831185,-0.017274998,-0.061424695,0.015816264,0.0018250123,0.0056470186,0.051190294,0.0,0.0,0.0,2
897,1149,1220.8916186392307,441.27840515971184,377.2275566160679,False,25040550,신성동,1.5227080187115547,0.0941102803049836,37.3,12.3,98.0,0.4199489178653044,1859.061457679686,114.89845245214316,158.41630418989058,1859.061457679686,0.35999998,True,98.38838826431324,2023-04-03 06:00:00,7.15633,2.2,32.208115,0.0,0.0113,0.1000561,99.02458192549506,0.975418074504944,0.0866146,97.23894401437065,2.761055985629355,0.07448799,89.45618237030068,10.54381762969932,98.70648509490417,-0.0004093945,-0.0010001436,-0.0009935573,-0.00090260804,-0.0008038208,-0.0008652508,4.04194e-05,0.004611969,0.0147148445,0.013578698,-0.029113159,-0.11962406,0.04608792,0.00349693,-0.0029684603,0.029012248,0.0,0.0,0.0,3
661,1092,953.858952730894,540.1723031401634,232.66556578874588,False,11220670,양재2동,2.720023339492366,0.1505397257609647,42.9,19.6,81.9,0.1772888573456352,2594.5186140117776,143.5936651587498,41.24901230236247,2594.5186140117776,0.39,True,99.01855547429874,2023-04-03 06:00:00,10.394438,0.2,29.089996,0.0,-0.0701,0.09453293,98.39399512424616,1.6060048757538254,0.08248071,96.08309097130147,3.916909028698512,0.07536814,89.99267567683161,10.00732432316839,98.70627529927243,-0.0007982403,-0.0013392493,-0.0020217672,-0.0015409589,-0.00040975213,0.00029167533,0.0015824214,0.005993888,0.013077341,0.011372402,-0.019545764,-0.07302011,0.011989348,0.0075599775,0.00069784373,0.037471693,0.0,0.0,0.0,4
615,1130,2066.206430375576,782.7950753867626,772.5048837661743,False,31130111,화도읍,0.5740154319611079,0.1732839748450113,43.6,24.7,203.34,0.0735947841548947,1186.0343766528551,358.0404631058021,56.85233017937369,1186.0343766528551,0.44,True,97.53510913891196,2023-04-03 06:00:00,9.812713,0.6,26.614922,0.0,-0.1432,0.117488906,99.86741371198836,0.1325862880116375,0.10279262,99.64902057225952,0.3509794277404694,0.09353218,97.5054531457166,2.4945468542833997,98.70126142545016,-0.0012536943,-0.0020087063,-0.0025054142,-0.0015330687,-0.00029159337,0.00022362173,0.0021776706,0.0073866174,0.015083492,0.011319518,-0.018989384,-0.07082856,0.017588273,0.0072941706,0.004400678,0.047943197,0.0,0.0,0.0,5
1255,1197,1289.2621795237064,655.3466159701347,523.6015972793102,False,36020670,여천동,0.8632307692307692,0.1767692307692307,45.5,23.8,185.4,0.301813110181311,1112.930782970387,227.90188373426747,158.0298265707709,1112.930782970387,0.54,True,97.41785143225454,2023-04-03 06:00:00,6.7888064,2.9,47.88158,0.0,0.0342,0.15763068,99.97808049270776,0.0219195072922389,0.1233158,99.96498225054532,0.0350177494546812,0.08808552,95.82540310508531,4.174596894914672,98.69796596248116,0.0001835376,2.5555491e-05,0.00042793155,-0.00067439675,-0.0015414655,-0.0027439147,-0.001248464,-0.0014155954,0.0043009818,0.0055951774,-0.018903032,-0.078997836,0.12967798,-0.0069392473,-0.004245788,-0.010474384,0.0,0.0,0.0,6
617,1126,2195.6108753979206,756.2171181440353,731.7269337773323,False,31130520,평내동,0.5041522212367976,0.1418742777285065,41.5,19.7,147.47,0.0058294470353097,1106.9220998035314,311.500707119934,4.265563404764595,1106.9220998035314,0.55,True,97.40967066202263,2023-04-03 06:00:00,9.971721,0.5,27.220806,0.0,-0.1156,0.12079031,99.90376801676577,0.0962319832342473,0.1055903,99.77599332791584,0.2240066720841724,0.09499628,97.86792694923228,2.1320730507677155,98.6567193393942,-0.0013796985,-0.0021661744,-0.0024559945,-0.0015201345,-0.00031787902,0.00043568015,0.0020568818,0.007343754,0.013758369,0.014262646,-0.025112264,-0.08435022,0.03493491,0.0033752099,0.003144376,0.045387097,0.0,0.0,0.0,7
677,1133,1588.6128839850426,595.6676791906357,597.1593344807625,False,31250120,초월읍,0.7953819982032609,0.1501806296232582,42.6,20.3,260.91,0.0363050098525108,1263.5540900354683,238.57888314449372,21.67987552184293,1263.5540900354683,0.85,True,97.6501357264152,2023-04-03 06:00:00,10.683551,0.4,25.1996,0.0,-0.1492,0.10810268,99.6238933321928,0.3761066678071927,0.09391949,98.69819511569224,1.3018048843077707,0.0867624,95.33461999059064,4.665380009409347,98.637014529304,-0.00083465874,-0.0013661385,-0.0016424954,-0.00091383606,9.9129975e-05,0.00014090538,0.0020660758,0.006885059,0.012006551,0.0097519085,-0.015906543,-0.05542083,0.004927188,0.0018389523,0.0043576956,0.047921177,0.0,0.0,0.0,8
687,1096,3271.2123240828514,1156.0936372876167,1132.6237766742706,False,31193530,신봉동,0.4664787288569964,0.1569964120963608,41.7,22.7,159.1,0.000599700149925,1525.9509667595096,513.5685980864056,0.6792346486802222,1525.9509667595096,0.39,True,98.00488367192632,2023-04-03 06:00:00,7.063239,0.6,30.398895,0.0,-0.0224,0.10234021,99.23762884393312,0.7623711560668909,0.09497909,98.8660664642231,1.1339335357769045,0.093640804,97.5372631623968,2.462736837603188,98.62125625792972,-0.0016087741,-0.0018483996,-0.0015872195,-0.0023457631,-0.00052886456,-0.00019272417,0.0018308312,0.0059030578,0.019233145,0.016737863,-0.04088168,-0.1533617,0.0550042,0.008262381,-0.0013724491,0.03533242,0.0,0.0,0.0,9
679,1135,1575.9156929254532,624.1941003799438,593.5080403089523,False,31250120,초월읍,0.7953819982032609,0.1501806296232582,42.6,20.3,260.91,0.0363050098525108,1253.4549728389236,236.6720109967178,21.54731525096095,1253.4549728389236,0.8,True,97.6350136965926,2023-04-03 06:00:00,10.510333,0.4,26.057785,0.0,-0.1196,0.10717798,99.5690945639622,0.4309054360378042,0.09388768,98.69445276078868,1.3055472392113217,0.086723454,95.32205637055728,4.677943629442709,98.6020541302774,-0.0008671656,-0.0013718084,-0.001659356,-0.00095235556,6.534904e-05,0.00016563386,0.0019724444,0.0066615865,0.01199232,0.010215312,-0.017744139,-0.06001196,0.008018516,0.0046271905,0.0030107573,0.04656806,0.0,0.0,0.0,10
638,1083,3032.0634860396385,1412.41632476449,1252.4955865442753,False,11030740,한남동,1.4078389261744966,0.1867919463087248,45.1,25.5,76.38,0.1897886275677285,4268.657002278946,566.3650398889612,237.70941840487512,4268.657002278946,0.57,True,99.66260520346567,2023-04-03 07:00:00,8.03459,1.7,30.876024,0.0,-0.0476,0.111896604,99.73883708994484,0.2611629100551624,0.09901531,99.10263675634064,0.8973632436593704,0.088527784,93.44980967452204,6.550190325477956,99.70072114670526,-0.00046294183,-0.001447387,-0.002219297,-0.0017094612,-0.0011470988,-0.00034552813,0.0008184612,0.0089010075,0.015195459,0.01274319,-0.025648147,-0.08608027,0.039125696,0.0034774244,-0.00027185678,0.03614673,0.0,0.0,0.0,1
636,1081,747.6611901521683,329.05025362968445,174.28459078073502,False,11020570,필동,4.955951096727795,0.151564185544768,39.4,18.7,42.29,0.5378006872852233,3705.372295315447,113.31865934884536,93.7303727051032,3705.372295315447,0.35999998,True,99.52402791377963,2023-04-03 07:00:00,8.545526,2.0,28.999975,0.0,-0.0518,0.10428121,99.38170950771992,0.6182904922800674,0.091463186,97.5776271331423,2.4223728668577,0.08180725,89.52087164791925,10.47912835208075,99.45286871074978,-0.00039557368,-0.0011317879,-0.0019546822,-0.001251556,-0.0009672418,-0.00047414005,0.0008587912,0.007576816,0.012522303,0.011183821,-0.02168446,-0.07151755,0.017169163,0.007904582,-5.3606927e-05,0.039406143,0.0,0.0,0.0,2
687,1096,3271.2123240828514,1156.0936372876167,1132.6237766742706,False,31193530,신봉동,0.4664787288569964,0.1569964120963608,41.7,22.7,159.1,0.000599700149925,1525.9509667595096,513.5685980864056,0.6792346486802222,1525.9509667595096,0.39,True,98.00488367192632,2023-04-03 07:00:00,6.625628,0.7,30.398895,0.0,-0.0224,0.13765343,99.9438646764467,0.0561353235533061,0.12761423,99.95723022967368,0.0427697703263305,0.12353041,99.95936871818998,0.0406312818100218,98.97437417418652,-0.0014319718,-0.0027406663,-0.005862564,-0.003057763,-0.0017695129,0.00011277199,0.001226455,0.010498002,0.020382315,0.01682911,-0.044050142,-0.15340088,0.08533797,0.008913845,-0.0016032457,0.04268889,0.0,0.0,0.0,3
988,1024,1116.1587989926338,532.4708397984505,470.3456637859345,False,35020720,소룡동,1.7223657766293423,0.1457555746961431,43.4,18.9,191.71,0.3916704254999248,1922.433716668622,162.6863671993283,184.22048626708155,1922.433716668622,0.52,True,98.4548260346815,2023-04-03 07:00:00,8.912541,2.3,49.144215,0.0,-0.1105,0.10454334,99.4009559043668,0.5990440956332037,0.08517825,95.5449937983833,4.455006201616698,0.06751611,77.43172875411659,22.56827124588341,98.92789096952416,-0.0010105297,-0.0028812215,-0.003990963,-0.0011105165,-0.00026788563,0.0010002032,0.002939336,0.0057476237,0.013343185,0.007787764,-0.0149559155,-0.045272186,0.04477565,0.0074462816,0.0027165264,-0.012272485,0.0,0.0,0.0,4
