T,top1pct_인구,top5pct_인구,top1pct_주간인구,top5pct_주간인구,top1pct_고령,top5pct_고령,top5pct_노후주택,wui_top5pct_격자,top10_인구,top10_주간인구,top10_고령,top10_평균위험상위%,max_prob,mean_prob,발화건수,발화_위험상위%
2024-04-02 06:00:00,397758.2505327165,1409172.0148842037,294235.76703518454,1165965.6908288004,79184.30586981279,289575.0319248176,130701.72088929519,2679,25093.028581559658,33852.64231999962,4705.733896925388,0.586,0.3114399313926697,0.021494699642062187,0,
2024-04-02 07:00:00,360033.2149731815,1700692.9119990766,266075.7002309842,1673541.2551189824,70320.52368719835,309229.9176771217,135277.47756761214,2503,27066.47103831172,38233.231833818405,4532.874186298407,0.691,0.29696232080459595,0.023280683904886246,0,
2024-04-02 08:00:00,646454.2664175034,3741153.032375194,490062.3559198775,3537952.188991584,118694.6592271712,661685.0997223572,301736.1502021314,2456,33548.620036542416,36449.4528668012,5893.762523037856,0.3,0.2978459298610687,0.0267142616212368,1,"경기 양평 서종(0.06ha,t+3h)=7.5%"
2024-04-02 09:00:00,2003084.389053166,17974859.894276746,1908090.782809048,14736505.016129738,363839.1980686314,3004285.827488175,1401028.7619431503,4971,35538.95460617542,48409.91646547003,5999.000731016396,0.428,0.31850725412368774,0.04373232275247574,3,"경기 양평 서종(0.06ha,t+2h)=7.1%; 경기 용인 수지(0.3ha,t+3h)=6.1%; 충북 청주 상당 문의(0.36ha,t+3h)=20.6%"
2024-04-02 10:00:00,1064093.7882092,15030620.380730271,917558.1071132311,12356538.932176823,202745.33913005993,2584961.832370649,1186690.9471829478,6417,42007.79455828667,47327.440212412985,6965.434661735797,0.628,0.36411094665527344,0.08644387125968933,4,"경기 양평 서종(0.06ha,t+1h)=7.8%; 경기 용인 수지(0.3ha,t+2h)=7.3%; 충북 청주 상당 문의(0.36ha,t+2h)=26.7%; 경기 포천 일동(2.0ha,t+3h)=1.0%"
2024-04-02 11:00:00,1097856.909356296,6281397.833124965,853825.0777064371,5066358.963543655,214072.78026361624,1161217.110812696,545867.2381918889,6830,47549.48105087876,40311.09024006557,8113.615647355939,0.243,0.38249340653419495,0.12788033485412598,3,"경기 용인 수지(0.3ha,t+1h)=3.1%; 충북 청주 상당 문의(0.36ha,t+1h)=32.9%; 경기 포천 일동(2.0ha,t+2h)=4.1%"
2024-04-02 12:00:00,1554324.010225743,5115330.572440088,1172770.994665063,4030880.048487351,299417.03926861926,957339.0085858309,457544.1569921684,6820,45556.516612648964,49726.374390199984,7784.451509358012,0.214,0.3920522630214691,0.14583325386047363,2,"경기 포천 일동(2.0ha,t+1h)=4.4%; 강원 홍천 서(1.5ha,t+3h)=14.0%"
2024-04-02 13:00:00,1699712.8688792586,4825153.5287949145,1300296.305498633,3873163.6145632113,324492.58156402665,910063.6069990954,445374.5754076618,6788,39056.480479091406,40347.032388723725,6403.286816253281,0.261,0.397901326417923,0.14465372264385223,1,"강원 홍천 서(1.5ha,t+2h)=15.6%"
2024-04-02 14:00:00,1664850.69045344,4886645.273483545,1282532.873321509,3911866.111181991,326746.01326606807,926795.4479986114,452229.002023491,6776,34413.209411770105,46167.559036024904,5587.049161089409,0.318,0.3975207209587097,0.12893593311309814,1,"강원 홍천 서(1.5ha,t+1h)=14.2%"
2024-04-02 15:00:00,1677230.0383612216,5380788.950858355,1286374.9426554837,4221277.085732665,330456.3786620179,1019359.7890287918,487881.69966145523,7039,41948.641621381044,49050.77402965986,6969.0081366539935,0.339,0.3921785354614258,0.10699229687452316,0,
2024-04-02 16:00:00,1599377.2557267547,5089831.628222346,1287989.3025730317,4186644.064108166,316401.32178101706,969910.1257492736,466536.6693446181,6927,47360.376691281796,41581.56661367769,8481.863560521291,0.273,0.3877027928829193,0.08667939156293869,0,
2024-04-02 17:00:00,1292377.968185246,4194715.085012376,1052951.9480779353,3305455.196186603,264561.26261965395,818591.7342819993,398824.0136090626,6759,31271.324649453163,39011.363800969186,4762.021925426313,0.452,0.3809533715248108,0.06973867863416672,0,
2024-04-02 18:00:00,1110913.0416160226,4055810.417817116,934627.3740653532,3251796.872399606,238288.29911894654,803051.5637049624,403029.27615767217,6465,26473.02354091406,35912.207154786556,4310.182085418379,0.468,0.3653123080730438,0.05224502086639404,0,
