fire_id,datetime,damagearea,firecause,address_raw,matched_address,recover_level,x_5179,y_5179
209,2021-04-11 10:17:00,1.0,입산자실화,"전북 무주 안선 진도 산100, 산100-1, 산99",전북특별자치도 무주군,sgg,1019563.72207594,1770206.62775
210,2021-04-11 10:13:00,0.5,기타,경북 봉화 재산 현동 산123-1,경상북도 봉화군 재산면 현동리,ri,1130748.80942751,1868058.49260761
214,2021-04-09 13:27:00,0.15,입산자실화,전남 화순 사평 사수 산106,전라남도 화순군 사평면 사수리,ri,966785.266987647,1666087.20117409
228,2021-04-02 12:54:00,0.02,농산부산물소각,경남 창녕 대합 모전 178-3,경상남도 창녕군 대합면 모전리,ri,1087466.77816332,1731510.1786738
233,2021-04-01 16:01:00,0.4,쓰레기소각,경기 안성 고삼 쌍지 산102,경기도 안성시 고삼면 쌍지리,ri,981137.700309342,1901697.99994631
235,2021-04-01 12:14:00,0.01,입산자실화,"충남 태안 남 양잠 산251, 227-2",충청남도 태안군 남면 양잠리,ri,895447.410142042,1850861.46877357
236,2021-04-01 12:10:00,0.1,담뱃불실화,충남 공주 우성 어천 산33-3,충청남도 공주시 우성면 어천리,ri,957892.888654358,1823863.68091963
238,2021-03-31 15:38:00,10.7,기타,강원 정선 신동 운치 산146번지외 1필지,강원특별자치도 정선군 신동읍 운치리,ri,1099850.31944207,1919855.68158245
239,2021-03-31 12:29:00,0.1,농산부산물소각,경북 군위 효령 장군 산23-1,대구광역시 군위군 효령면 장군리,ri,1095851.80026451,1793031.12358638
240,2021-03-30 14:11:00,0.5,기타,강원 삼척 가곡 탕곡 산24,강원특별자치도 삼척시 가곡면 탕곡리,ri,1152597.60736197,1907848.77369193
423,2021-02-04 13:02:00,0.01,기타,경남 통영 도산 수월 665,경상남도 통영시 도산면 수월리,ri,1076684.06486116,1654819.22011365
3827,2024-06-10 04:38:00,0.21,기타,인천 강화 양사 덕하 산6,인천광역시 강화군 양사면 덕하리,ri,905092.091071057,1978387.87825073
3851,2024-06-18 17:11:00,3.0,쓰레기소각,광주 북 생용 산75,광주광역시 북구 생용동,dong,945753.959212476,1692742.38069083
3853,2024-06-18 12:41:00,0.06,기타,경기 용인 처인 이동 송전 산67-1,경기도 용인시 처인구 이동읍 송전리,ri,974221.155104975,1904275.32169244
3859,2024-04-14 12:20:00,0.2,입산자실화,전남 곡성 겸 현정 산108,전라남도 곡성군 겸면 현정리,ri,969065.938394096,1694950.53339354
3863,2024-03-20 14:26:00,0.2,건축물화재비화,전북 순창 적성 괴정 산84,전북특별자치도 순창군 적성면 괴정리,ri,976369.840905201,1713192.72811106
3864,2024-03-20 13:52:00,0.4,담뱃불실화,전북 완주 구이 항가 산161,전북특별자치도 완주군 구이면 항가리,ri,965567.755490326,1746244.7499935
3866,2024-03-20 13:11:00,1.15,기타,광주 동 학 산157-3,광주광역시 동구 학동,dong,947726.435387579,1682491.0903
3869,2024-03-20 08:40:00,0.09,쓰레기소각,충남 서산 인지 성 산42-2,충청남도 서산시 인지면 성리,ri,902506.544355239,1865923.42349673
3871,2024-03-19 18:57:00,0.2,담뱃불실화,전남 강진 성전 영풍 산139,전라남도 강진군 성전면 영풍리,ri,928612.196646945,1635202.07544301
3875,2024-03-18 16:55:00,0.08,건축물화재비화,인천 서 대곡 136-5,인천광역시 서구 대곡동,dong,926545.450335461,1958726.59364926
3877,2024-03-18 15:55:00,0.39,쓰레기소각,경기 양평 양동 단석 산254,경기도 양평군 양동면 단석리,ri,1020660.47265574,1932990.19019477
3883,2024-03-17 14:24:00,0.15,입산자실화,전북 군산 옥도 선유도 산3-28,전북특별자치도 군산시 옥도면 선유도리,ri,901708.039887526,1759314.04151381
3894,2024-06-21 06:35:00,0.5,기타,충남 부여 새도 청포 산21-2,충청남도 부여군,sgg,943535.267763913,1803732.70205
3895,2024-06-13 13:29:00,0.8,기타,경북 김천 구성 마산 산151-1,경상북도 김천시 구성면 마산리,ri,1041112.52915023,1783665.48990321
3910,2024-05-24 13:27:00,0.5,농산부산물소각,전남 화순 사평 검산 산26,전라남도 화순군 사평면 검산리,ri,962636.257642685,1665384.74021538
3916,2024-04-12 13:14:00,2.0,기타,강원 양구 국토정중앙 가오작 산1-1,강원특별자치도 양구군 국토정중앙면 가오작리,ri,1049292.97663591,2015551.88485454
3920,2024-04-13 22:32:00,0.06,입산자실화,충남 홍성 은하 대율 산71-1,충청남도 홍성군 은하면 대율리,ri,918527.160980509,1840436.13580976
3937,2024-03-24 12:42:00,0.3,농산부산물소각,경기 화성 장안 장안 Jun-85,경기도 화성시 장안면 장안리,ri,941977.76411292,1893502.99342803
3939,2024-03-24 10:23:00,1.5,담뱃불실화,경기 안성 고삼 쌍지 산89-1,경기도 안성시 고삼면 쌍지리,ri,981137.700309342,1901697.99994631
3940,2024-03-23 14:46:00,0.03,기타,경기 가평 북 화악 산234-1,경기도 가평군 북면 화악리,ri,1004141.75316057,1995497.30652734
3942,2024-03-23 12:54:00,0.03,기타,충남 금산 남일 신천 산7-2,충청남도 금산군 남일면 신천리,ri,999082.033797104,1781052.54624123
3947,2023-04-22 16:05:00,0.33,기타,충남 부여 내산 운치 산10-4,충청남도 부여군 내산면 운치리,ri,935701.924119494,1808911.84102585
3949,2023-04-22 10:33:00,0.01,입산자실화,충남 태안 안면 중장 307-7,충청남도 태안군 안면읍 중장리,ri,899294.048889204,1831437.80736073
3950,2023-04-14 13:11:00,0.04,담뱃불실화,경남 함양 유림 옥매 산68-8,경상남도 함양군 유림면 옥매리,ri,1024333.84784488,1723472.19199635
3958,2023-04-22 22:30:00,0.45,건축물화재비화,경남 창원 마산합포 구산 수정 산33-1,경상남도 창원시 마산합포구 구산면 수정리,ri,1098079.19229878,1680987.1054322
3959,2023-04-22 17:32:00,0.01,입산자실화,전남 장흥 부산 호계 347-5,전라남도 장흥군 부산면 호계리,ri,947922.431882669,1636721.62611919
3962,2023-06-03 16:57:00,0.01,입산자실화,경기 포천 이동 장암 산74,경기도 포천시 이동면 장암리,ri,988481.168269756,2004398.00027687
3963,2023-04-19 23:40:00,0.03,입산자실화,전북 군산 옥도 어청도 산1,전북특별자치도 군산시 옥도면 어청도리,ri,862815.8949531,1792479.10847167
3968,2023-05-16 13:44:00,0.1,입산자실화,경북 포항 북 홍해 대련 산314,경상북도 포항시 북구,sgg,1152503.80258468,1798939.5183
3978,2023-05-12 13:48:00,0.01,입산자실화,경남 합천 가야 죽전 산25-1,경상남도 합천군 가야면 죽전리,ri,1051398.80909288,1751833.12074148
3983,2023-04-09 17:16:00,0.01,입산자실화,울산 동 동부 산120-1,울산광역시 동구 동부동,dong,1174504.03421564,1730099.91331455
3985,2023-04-09 12:12:00,0.01,기타,경기 연천 신서 대광 산190,경기도 연천군 신서면 대광리,ri,968603.95917185,2022998.41097832
4025,2023-03-14 14:36:00,3.0,기타,충남 금산 부리 평촌 895-1,충청남도 금산군 부리면 평촌리,ri,1005183.24454467,1787134.23772552
4027,2023-03-14 13:54:00,0.3,기타,전북 남원 대강 사석 산155,전북특별자치도 남원시 대강면 사석리,ri,976071.054421692,1705336.8749142
4029,2023-03-14 13:37:00,0.16,기타,강원 홍천 영귀미 삼현 50-13,강원특별자치도 홍천군 영귀미면 삼현리,ri,1036160.86628351,1962570.27608324
4056,2023-02-27 15:08:00,1.7,기타,충남 금산 복수 수영 산41-13,충청남도 금산군 복수면 수영리,ri,990181.425420597,1797628.41608641
4066,2023-02-23 13:22:00,0.03,기타,울산 북 시례 산160-1,울산광역시 북구 시례동,dong,1166062.1609645,1735757.57020771
4072,2023-02-08 14:52:00,0.15,기타,대전 서 흑석 산78-1,대전광역시 서구 흑석동,dong,986245.341438041,1807634.31932857
4077,2023-02-05 18:37:00,0.01,쓰레기소각,경남 함양 백전 운산 산84,경상남도 함양군 백전면 운산리,ri,1010964.4108838,1733333.49784061
4082,2023-02-01 22:32:00,0.9,기타,경북 울진 기성 정명 산151,경상북도 울진군 기성면 정명리,ri,1172511.43504702,1868519.0792297
4084,2023-03-17 16:23:00,0.09,쓰레기소각,부산 기장 장관 월평 산43,부산광역시 기장군,sgg,1153972.95484591,1700174.32695
4087,2023-05-23 16:52:00,0.8,기타,강원 횡성 서원 창촌 산182,강원특별자치도 횡성군 서원면 창촌리,ri,1031353.90037306,1943650.15464265
4090,2023-05-23 13:39:00,0.01,기타,경북 청도 이서 흥선 605-4,경상북도 청도군 이서면 흥선리,ri,1104960.1231776,1743978.7176611
4093,2023-05-17 11:10:00,0.3,기타,강원 평창 대화 대화 산554,강원특별자치도 평창군 대화면 대화리,ri,1085072.31798528,1945260.99530088
4095,2023-04-28 15:16:00,0.8,입산자실화,충북 청주 상당 미원 월용 산30,충청북도 청주시 상당구 미원면 월용리,ri,1018881.37098318,1848176.33921004
4098,2023-04-16 14:45:00,0.03,건축물화재비화,경기 광주 남송 귀여 산89-5,경기도 광주시,sgg,981570.710740748,1933503.31405
4099,2023-04-16 13:54:00,0.01,기타,강원 정선 신동 예미 산127,강원특별자치도 정선군 신동읍 예미리,ri,1101110.00960676,1914219.39388281
4107,2023-04-03 13:33:00,0.07,담뱃불실화,충남 아산 선장 선창 261-29,충청남도 아산시 선장면 선창리,ri,944898.991772309,1865563.10493193
4120,2023-04-02 15:36:00,0.1,입산자실화,전남 강진 대구 저두 05월 23일,전라남도 강진군 대구면 저두리,ri,935863.303592071,1615285.98669854
4121,2023-04-02 15:29:00,4.0,농산부산물소각,전북 고창 상하 송곡 산74-9,전북특별자치도 고창군 상하면 송곡리,ri,910767.097646318,1717072.31289493
4124,2023-04-02 15:03:00,1.0,기타,강원 원주 지정 안창 산13-21,강원특별자치도 원주시 지정면 안창리,ri,1026958.73087926,1928131.71415511
4127,2023-03-27 14:56:00,0.5,기타,강원 철원 서 자등 산387-1,강원특별자치도 철원군 서면 자등리,ri,991792.671441697,2017654.74842248
4159,2023-04-02 12:24:00,889.36,입산자실화,충남 금산 복수 신대 산24-3,충청남도 금산군 복수면 신대리,ri,989373.564059154,1803140.95297971
4164,2023-04-02 11:48:00,35.0,기타,경북 군위 소보 보현 산5,대구광역시 군위군 소보면 보현리,ri,1084250.04214585,1811458.11771446
4167,2023-04-02 11:14:00,0.1,기타,경북 포항 북 송라 중산 산110,경상북도 포항시 북구 송라면 중산리,ri,1159330.66997885,1807174.16641676
4168,2023-04-02 11:00:00,3.0,기타,경기 양평 지평 망미 산133외3필지,경기도 양평군 지평면 망미리,ri,1013804.69331459,1939002.70756709
4169,2023-04-02 11:00:00,1454.0,담뱃불실화,충남 홍성 서부 중 538,충청남도 홍성군 서부면 중리,ri,912774.010361801,1842245.05325159
4172,2023-04-02 09:50:00,1.2,기타,충남 천안 동남 북 명덕 산105-1,충청남도 천안시 동남구 북면 명덕리,ri,978474.241944462,1869282.44122363
4187,2023-04-04 10:50:00,0.1,입산자실화,전남 보성 안양 수문 산6-1,전라남도 보성군,sgg,969510.211056741,1646364.3729
4190,2023-05-26 22:16:00,2.0,입산자실화,강원 평창 대화 대화 산70,강원특별자치도 평창군 대화면 대화리,ri,1085072.31798528,1945260.99530088
4201,2023-04-24 08:39:00,0.01,건축물화재비화,경기 양주 남 경신 171-10,경기도 양주시 남면 경신리,ri,954531.745136595,1984417.67145284
4204,2023-04-12 13:50:00,0.1,입산자실화,전남 장흥 안양 수문 산30-1,전라남도 장흥군 안양면 수문리,ri,957313.157019772,1627011.75117836
4206,2022-04-04 12:15:00,0.01,쓰레기소각,경기 양평 양동 금왕 234,경기도 양평군 양동면 금왕리,ri,1020758.52307111,1941945.99700149
4207,2022-04-04 11:30:00,0.02,입산자실화,울산 중 다운 산165,울산광역시 중구 다운동,dong,1160326.8508588,1731808.8968
4209,2022-04-03 15:47:00,0.1,입산자실화,충북 보은 마로 갈천 산34-1,충청북도 보은군 마로면 갈천동,dong,1031240.78847475,1824826.88475
4214,2022-04-02 15:53:00,0.03,입산자실화,경기 양평 양서 국수 산50,경기도 양평군 양서면 국수리,ri,991275.756309908,1946775.18864105
4219,2022-04-02 11:54:00,0.5,쓰레기소각,경기 연천 신서 담곡 산128,경기도 연천군 신서면 담곡동,dong,965712.544207487,2021987.06725
4221,2022-04-01 13:46:00,0.01,기타,경남 사천 정동 화암 산50,경상남도 사천시 정동면 화암리,ri,1055473.98397251,1675836.01743518
4223,2022-04-01 01:55:00,1.0,입산자실화,전남 순천 서 구상 산42,전라남도 순천시 서면 구상리,ri,1003876.75153735,1668856.76211703
4227,2022-03-29 11:57:00,0.1,입산자실화,강원 삼척 가곡 탕곡 산7,강원특별자치도 삼척시 가곡면 탕곡리,ri,1152597.60736197,1907848.77369193
