prow,pcol,x_5179,y_5179,P_lgbm,y_prob_t1,y_prob_t2,y_prob_t3,haz_top_t1,haz_top_t2,haz_top_t3,pop_total,pop_male,pop_female,households,houses,expo_pct,coverage,low_count_only,forest_ratio,지명
685,1046,937591.4294307149,1926614.0711620022,0.15521295,0.317519,0.2854329,0.21421175,2.113048785098215,1.6739666988912205,1.6450726132675157,5147.3109574615955,2823.629611223936,2323.764167815447,962.0077627301216,1245.4952789247036,99.48535518177424,1.0,False,0.39,경기도 안산시 단원구 원곡동
628,1088,958591.4294307149,1955114.0711620022,0.11611788,0.2876214,0.2602966,0.20337898,3.5067158496211306,2.529717702083076,2.0965764559108635,4727.34795960784,2246.8724319934845,2480.061233341694,1975.0270572900772,1236.6038755476475,99.36313943255203,1.0,False,0.63,서울특별시 성북구 종암동
805,1099,964091.4294307149,1866614.0711620022,0.1434888,0.3412043,0.2949951,0.21200286,1.328047785956926,1.4058187827758815,1.7255439919204463,4621.858692824841,2276.9827379882336,2344.235243231058,1971.8154635727406,440.6500634253025,99.3299205473679,1.0,False,0.54,충청남도 천안시 서북구 불당1동
686,1051,940091.4294307149,1926114.0711620022,0.08993793,0.26730588,0.22640626,0.1718926,4.833413444661076,4.244730204850967,4.124833251421762,4420.359376996756,2249.0638458132744,2170.88123691082,1860.751270890236,1423.0597101449966,99.25678941953716,1.0,False,0.34,경기도 안산시 단원구 와동
1077,1497,1163091.4294307148,1730614.0711620022,0.039179847,0.27150404,0.21856788,0.15951827,4.520709228284886,4.82558233734251,5.512289437726494,4371.401153534651,2189.775120973587,2181.2117382884026,1655.166930437088,1590.2089583575726,99.2389404663039,1.0,False,0.42,울산광역시 중구 태화동
1156,1449,1139091.4294307148,1691114.0711620022,0.10521691,0.28621614,0.24797605,0.17541762,3.5850269228068896,3.0517015105936025,3.823200600564931,4247.232231616974,2043.8963628709316,2203.994395405054,1567.1167892217636,1568.3421499729156,99.18638521511707,1.0,False,0.81,부산광역시 북구 만덕3동
1179,1442,1135591.4294307148,1679614.0711620022,0.50717074,0.38432366,0.28874102,0.21137944,0.4245000243034269,1.572702380116553,1.7522777720769653,3762.860257744789,1784.339317560196,1976.9520264565945,1651.4640729427338,1454.6754437983036,98.987815610397,1.0,False,0.55,부산광역시 사하구 괴정1동
1013,1375,1102091.4294307148,1762614.0711620022,0.019820658,0.26561958,0.22773495,0.17448266,4.960601429042072,4.155617604329251,3.905022170134856,3693.1752080619335,1814.342824548483,1876.8323835134506,1354.283117711544,1206.0083518326283,98.95633204011057,1.0,False,0.42000002,대구광역시 수성구 범어1동
1173,1390,1109591.4294307148,1682614.0711620022,0.14496352,0.3649287,0.32390505,0.2454511,0.7550267607839771,0.715601186007703,0.7264027133436599,3672.5890900194645,1836.3247437179089,1836.0854824781418,1264.5428793430328,1249.280557692051,98.94666385710921,1.0,False,0.51,경상남도 창원시 진해구 풍호동
1002,1372,1100591.4294307148,1768114.0711620022,0.022027241,0.26565826,0.22771868,0.17405027,4.957631009024681,4.156427718879456,3.9452578594613215,3536.688333630562,1717.0296009778976,1818.0898189246655,1512.8157863020897,1407.5813020765781,98.8817134995104,1.0,False,0.4,대구광역시 북구 산격2동
1024,1354,1091591.4294307148,1757114.0711620022,0.07054499,0.34325606,0.30144972,0.2290494,1.2705296528929182,1.2356947272344314,1.1495525467301064,3422.941446006298,1665.6163980960846,1759.3370403647423,1422.2723600268364,1352.6335644125938,98.82618342278468,1.0,False,0.52,대구광역시 달서구 진천동
1087,1519,1174091.4294307148,1725614.0711620022,0.12186177,0.28339183,0.24818623,0.16564856,3.7484000237633666,3.0398198305240385,4.765093784261097,3341.746535629034,1672.911588639021,1668.3974314033985,1243.5678986907005,1154.8829938173294,98.78527957162511,1.0,False,0.62,울산광역시 동구 전하2동
649,1026,927591.4294307149,1944614.0711620022,0.19050275,0.28096825,0.25498188,0.18360284,3.897461100999678,2.7449381342521804,3.190771175044148,3325.0904337465763,1685.229995250702,1640.3465306460857,1514.4495432972908,1358.7764926850796,98.77685089926497,1.0,False,0.34,인천광역시 서구 가좌3동
686,1054,941591.4294307149,1926114.0711620022,0.15958911,0.32312098,0.2907961,0.2191795,1.9037691929638925,1.515184247052531,1.4660372976738927,3319.631579697132,1688.6199697554111,1632.4259042143822,1545.9211254119873,986.1825684010983,98.77461978011081,1.0,False,0.43000004,경기도 안산시 단원구 중앙동
803,1104,966591.4294307149,1867614.0711620022,0.20298004,0.35301068,0.30122325,0.21999066,1.0164237223143289,1.2408254527190223,1.4403836702509807,3208.5453223884106,1546.0172636508942,1664.1687703430653,1599.119302302599,1350.1883152127266,98.71066103102496,1.0,False,0.65,충청남도 천안시 서북구 쌍용3동
1185,1439,1134091.4294307148,1676614.0711620022,0.16485661,0.30124602,0.26645666,0.18126045,2.8159581764861485,2.296134673442822,3.364675765153194,3175.852822601795,1630.6674936711788,1544.5123828947544,1266.5113299787045,1129.4581437706947,98.69058095863753,1.0,False,0.6,부산광역시 사하구 장림2동
1180,1410,1119591.4294307148,1679114.0711620022,0.10483595,0.30173814,0.2656381,0.19161087,2.791924778163633,2.3269190263503248,2.6855297339043744,3157.437852859497,1819.048527419567,1337.748613834381,1364.285872966051,647.6072585582733,98.68339179691857,1.0,False,0.31,경상남도 창원시 진해구 웅동2동
949,1335,1082091.4294307148,1794614.0711620022,0.23012675,0.41056973,0.3518418,0.2743054,0.08857252415491246,0.1290782516647795,0.1644532536900698,3060.094759583473,1558.7392829060555,1499.5279111862183,1311.4621942341328,1271.6184689998627,98.62835752444936,1.0,False,0.78,경상북도 구미시 양포동
1017,1375,1102091.4294307148,1760614.0711620022,0.030266121,0.28785336,0.24277179,0.1835924,3.4902435204337934,3.2941957992860154,3.191851327777755,3039.949884712696,1478.9404938519,1561.5232987105846,1216.9876803159714,935.1331986784935,98.61819353719152,1.0,False,0.34,대구광역시 수성구 황금1동
