prow,pcol,pop_total,households,houses,low_count_only,adm_cd,adm_nm,day_idx,old_ratio,avg_age,oldage_suprt_per,old_per_health,old_house_ratio,pop_day,pop_old,old_house,pop_expo,forest_ratio,is_wui,expo_rank,T,vpd,wind,hum4d,prcp4d,ndmi,y_prob_t1,haz_rank_t1,haz_top_t1,y_prob_t2,haz_rank_t2,haz_top_t2,y_prob_t3,haz_rank_t3,haz_top_t3,score_t1,occ_h00,occ_h01,occ_h02,occ_h03,occ_h04,occ_h05,occ_h06,occ_h07,occ_h08,occ_h09,occ_h10,occ_h11,occ_P_lgbm,occ_ndvi,occ_ndmi,occ_hum4d,occ_prcp4d,occ_doy_sin,occ_doy_cos,rank
1092,1486,1762.2644628882408,690.8026700019836,689.8789744377136,False,26510150,청량읍,1.1736272235112142,0.1743453762015246,44.2,24.8,344.5,0.1012620638455827,2068.2415486720074,307.2426607488282,69.85856875523692,2068.2415486720074,0.72999996,True,98.58794947754626,2021-02-20 06:00:00,4.508951,3.2877958,34.6225,0.0,-0.1122,0.14040536,99.95118871398178,0.0488112860182212,0.14563999,99.9570248460057,0.0429751539943055,0.1335269,99.94163867976084,0.0583613202391717,99.269569095764,0.00051011145,0.00038453937,8.304417e-05,-0.00027035177,0.0003735274,0.0012566447,0.001945287,0.0041382164,0.005434215,-0.001409784,-0.019511446,-0.032161057,0.07634938,-0.0017627627,0.0006584972,0.05560638,0.0,0.0,0.0,1
1083,1504,1552.0188263356686,675.7356611192226,562.9210817217827,False,26020610,야음장생포동,2.5194093299026736,0.2440988924935675,48.4,36.4,173.15,0.4264378773435017,3910.170711254681,378.8460766377032,240.05087120134488,3910.170711254681,0.37,True,99.57955799050536,2021-02-20 06:00:00,3.8733337,4.561715,38.570206,0.0,-0.0394,0.07302976,98.87389179811228,1.1261082018877175,0.06406182,98.51947941702348,1.4805205829765242,0.0645656,94.6326154890944,5.367384510905609,99.22672489430882,-0.0009022206,-0.00070506334,-0.00024878234,-0.0005110875,0.00032678992,0.001087606,0.0020658001,0.0029843152,0.003018804,-0.0011849552,-0.0067239106,-0.011583112,0.0071770176,0.0024472326,-0.00036565214,0.027971063,0.0,0.0,0.0,2
1080,1514,824.8650518655777,328.77554711699486,274.4000913798809,False,26040580,양정동,4.127143009264189,0.1314024065594718,42.0,17.0,116.08,0.2961752206603465,3404.3360323933616,108.38925290194044,81.27050761365547,3404.3360323933616,0.72,True,99.42238804120134,2021-02-20 06:00:00,4.2803736,5.711873,36.910244,0.0,-0.117,0.07442295,98.99698112807124,1.0030188719287452,0.064714804,98.60887834848074,1.3911216515192564,0.060098607,92.47563414880014,7.52436585119986,99.2096845846363,-0.00041781366,-0.00041380525,-0.00021148473,-0.00037088245,0.00023856759,0.0007765293,0.0009576678,0.0020515174,0.0019960776,-0.0020143017,-0.008547276,-0.014161684,0.010231614,-0.0052519217,0.0006231144,0.030122027,0.0,0.0,0.0,3
1087,1500,1615.8294731378555,639.426186978817,627.1911936104298,False,26020640,선암동,2.174319352465048,0.1760117733627667,44.9,24.5,513.2,0.4386792452830189,3513.3292937270417,284.40501101881904,275.1357594611791,3513.3292937270417,0.59,True,99.4640355987456,2021-02-20 06:00:00,3.6432564,4.3004518,38.9149,0.0,0.0235,0.073074475,98.87760570030932,1.1223942996906828,0.06698418,98.8863598983452,1.1136401016548092,0.067802176,95.8131058302959,4.186894169704104,99.17082064952746,-0.0013329089,-0.0009572059,-0.00033204257,-0.0005165264,0.00038235635,0.001283966,0.002550602,0.0031958222,0.0031237155,-0.0013756454,-0.005605936,-0.010082811,0.013147943,-0.0014894456,-0.0011679232,0.030159932,0.0,0.0,0.0,4
1084,1504,1699.236805230379,693.1609092354774,637.7950632572174,False,26020610,야음장생포동,2.5194093299026736,0.2440988924935675,48.4,36.4,173.15,0.4264378773435017,4281.073060811429,414.7818222410434,271.97997295557224,4281.073060811429,0.32999998,True,99.6665716375175,2021-02-20 06:00:00,3.7732916,4.6,39.274624,0.0,-0.0479,0.07012894,98.60012415044488,1.39987584955513,0.061307013,98.0292443270144,1.970755672985604,0.06259384,93.77762214759048,6.222377852409522,99.13334789398118,-0.0011954829,-0.00087180734,-0.00028125197,-0.0005143061,0.0003482476,0.0012402385,0.00241331,0.0029555783,0.002874516,-0.0011053905,-0.005347125,-0.00872948,0.0034481958,0.003328815,-0.0002484545,0.026330497,0.0,0.0,0.0,5
496,1360,3279.2539556622505,1445.07723864913,1432.3971540033815,False,32060580,조양동,0.4959537972056992,0.1644418315119657,43.0,23.6,149.41,0.0583028826634186,1626.358451312503,539.2465264619589,83.51288319727391,1626.358451312503,0.34,True,98.12412459560966,2021-02-20 06:00:00,4.6280437,1.4440747,31.34346,0.0,-0.0548,0.11523254,99.88937877027394,0.110621229726064,0.115776636,99.90768300253076,0.0923169974692399,0.13060106,99.93739422010708,0.0626057798929338,99.0067516829418,-0.0007897541,0.00024859607,0.0018527508,-0.00093460083,-0.0011710748,0.00051127374,0.0027109832,0.007775955,0.005401358,0.004613541,-0.007887766,-0.0140643865,0.02485808,0.008686431,-0.0002792701,0.055644263,0.0,0.0,0.0,6
1077,1513,385.5153698325157,144.24115693569183,143.52065739035606,False,26040580,양정동,4.127143009264189,0.1314024065594718,42.0,17.0,116.08,0.2961752206603465,1591.0770635681656,50.65764736165737,42.5072623719067,1591.0770635681656,0.97999996,True,98.07801479975706,2021-02-20 06:00:00,4.2341084,5.456269,37.58612,0.0,-0.0573,0.10317276,99.81271321777793,0.1872867822220882,0.09447746,99.7883075747688,0.2116924252311918,0.08523996,98.97469771488905,1.0253022851109677,98.94536400876748,-0.0007838756,-0.00064601004,-0.00023233145,-0.0005342439,0.00035355985,0.0012881905,0.0019244552,0.0029605627,0.0029977486,-0.0015590265,-0.009416744,-0.014814928,0.03466212,0.00016500801,-0.00011382252,0.037190698,0.0,0.0,0.0,7
951,1281,1694.951564669609,805.1799605488777,691.6653488874435,False,37030560,대신동,0.8468434533674853,0.1470543920445984,41.3,19.8,151.67,0.1607025965524765,1435.3586363154343,249.25007188753028,111.15241751158676,1435.3586363154343,0.34,True,97.8913444971925,2021-02-20 06:00:00,5.1933165,3.0292075,54.677624,0.0,-0.1127,0.22873268,99.99522498288952,0.0047750171104752,0.24212733,99.99442914670443,0.005570853295552,0.18819903,99.98514439121185,0.014855608788153,98.943284740041,0.0004735142,0.000108122826,0.0002642423,-0.00025889277,-5.0261617e-05,-2.9444695e-05,-0.0004326105,-0.00029923022,-0.00034314394,-0.0005904287,-0.0017075837,-0.0062041134,0.1788771,0.00953494,0.0010537207,0.003267035,0.0,0.0,0.0,8
642,1455,2088.049348473549,1045.0031283795834,977.162208855152,False,32040510,천곡동,0.779376904842533,0.1988824923806298,44.8,29.6,95.46,0.3590901346055546,1627.377438371782,415.27645863816974,350.8893091092576,1627.377438371782,0.49,True,98.1256120083791,2021-02-20 06:00:00,4.890339,1.0181357,29.432714,0.0,-0.0353,0.0935243,99.6943989049294,0.3056010950705996,0.09574196,99.80104095373008,0.1989590462699197,0.1092676,99.85356614194534,0.1464338580546638,98.91000545665425,-0.00040480494,-0.0018491298,-5.955994e-05,0.00028871745,-0.00068598986,-0.0016773865,0.00028356165,0.0065449104,0.009104088,0.0066376477,-0.012166917,-0.041517444,0.020414613,0.003655754,-0.0005685985,0.05111383,0.0,0.0,0.0,9
1092,1481,1072.2230479121208,498.9525598883629,499.4564127922058,False,26510340,웅촌면,1.3649701971572674,0.2714351215038973,49.4,39.6,414.5,0.1713286713286713,1463.552505105174,291.0389932893056,85.57120359027303,1463.552505105174,0.67,True,97.928034012172,2021-02-20 06:00:00,3.784029,2.747421,35.16611,0.0,-0.0808,0.11179221,99.87611483385594,0.1238851661440634,0.116469495,99.90980523235764,0.0901947676423589,0.116415754,99.89866352576652,0.1013364742334772,98.90207442301396,0.00023578852,0.00024139136,-0.00021841377,-0.0003745854,0.0005364567,0.0014117882,0.0020787194,0.0046677813,0.0052711666,-0.0012037456,-0.01776877,-0.0339206,0.054709144,0.001058504,0.00016418844,0.04891996,0.0,0.0,0.0,10
