fire_id,ignite_h,scan_hour,horizon,loc,damagearea,haz_top_pct,is_wui,pop
104,2021-02-27 15:00:00,14,1,경기 고양 덕양,0.1,21.647705078125,True,65.08924186229706
105,2021-02-27 15:00:00,14,1,경기 광주 초월,0.16,6.140504360198975,True,28.666245371103287
102,2021-02-28 13:00:00,11,2,울산 울주 온양,0.02,83.91439056396484,False,4.861961394548416
100,2021-03-09 15:00:00,14,1,전북 장수 장수,0.05,32.79726028442383,False,324.3364762067795
99,2021-03-10 12:00:00,11,1,경기 포천 신북,0.5,44.87580108642578,True,14.189172208309174
98,2021-03-10 15:00:00,14,1,경남 통영 도산,0.01,14.773530960083008,True,10.158042699098587
96,2021-03-11 14:00:00,11,3,강원 영월 김삿갓,0.5,43.896942138671875,True,27.867340177297592
95,2021-03-14 17:00:00,14,3,경기 광주 남한산성,0.01,10.640844345092773,True,35.08872726559639
93,2021-03-15 15:00:00,14,1,경기 파주 파평,0.3,,False,17.529498428106308
94,2021-03-15 15:00:00,14,1,경기 화성 남양,0.4,79.67350006103516,True,12.282446265220642
92,2021-03-16 15:00:00,14,1,전북 익산 성당,0.13,82.68133544921875,False,1113.2064553797245
90,2021-03-17 12:00:00,11,1,경기 오산 nan,0.2,49.0311164855957,False,2032.38872975111
88,2021-03-18 14:00:00,11,3,전북 완주 봉동,0.03,44.83035659790039,False,2.7957809269428253
85,2021-03-19 14:00:00,11,3,경북 상주 이안,0.03,33.20356369018555,True,12.75285530090332
84,2021-03-19 15:00:00,14,1,경기 파주 탄현,0.7,,False,53.83834245800972
81,2021-03-22 12:00:00,11,1,경북 문경 호계,0.3,20.014118194580078,False,2.480112701654434
79,2021-03-23 14:00:00,11,3,전북 무주 부남,0.1,41.60624313354492,False,8.540730029344559
80,2021-03-23 14:00:00,11,3,경남 밀양 상동,0.03,4.293972015380859,False,4.899417668581009
76,2021-03-23 15:00:00,14,1,강원 홍천 화촌,20.0,25.369468688964844,False,8.04954531788826
77,2021-03-23 15:00:00,14,1,경북 영주 nan,0.2,38.05154037475586,False,2.5371291637420654
78,2021-03-23 15:00:00,14,1,충북 충주 수안보,4.4,13.105880737304688,False,267.14387434720993
75,2021-03-23 17:00:00,14,3,경기 포천 내촌,0.05,57.794803619384766,True,36.663346976041794
73,2021-03-24 16:00:00,14,2,전북 부안 위도,2.0,,False,5.197931885719299
71,2021-03-25 13:00:00,11,2,경남 창녕 대합,0.1,23.458086013793945,False,11.589674592018127
69,2021-03-26 12:00:00,11,1,경남 거창 고제,1.0,25.965744018554688,False,0.0
68,2021-03-26 13:00:00,11,2,전남 장성 삼계,0.1,70.39636993408203,False,5.123646795749664
67,2021-03-26 16:00:00,14,2,충남 청양 목,0.33,65.00332641601562,False,0.0
240,2021-03-30 14:00:00,11,3,강원 삼척 가곡,0.5,0.002658803714439273,False,8.10011774301529
239,2021-03-31 12:00:00,11,1,경북 군위 효령,0.1,5.607682704925537,True,12.806373536586761
237,2021-03-31 15:00:00,14,1,강원 양구 양구,0.5,0.4083922505378723,True,582.6293315291405
238,2021-03-31 15:00:00,14,1,강원 정선 신동,10.7,31.429452896118164,False,3.6407116055488586
235,2021-04-01 12:00:00,11,1,충남 태안 남,0.01,39.44866943359375,False,0.0
236,2021-04-01 12:00:00,11,1,충남 공주 우성,0.1,35.24164581298828,False,2.4860921502113342
234,2021-04-01 15:00:00,14,1,경기 고양 덕양,0.01,17.589582443237305,False,471.29670092463493
233,2021-04-01 16:00:00,14,2,경기 안성 고삼,0.4,4.81615686416626,True,35.15550035238266
228,2021-04-02 12:00:00,11,1,경남 창녕 대합,0.02,67.44561004638672,False,35.13128951191902
226,2021-04-02 14:00:00,11,3,전북 남원 주천,0.02,11.079235076904297,True,54.988734900951385
227,2021-04-02 14:00:00,11,3,충북 청주 상당,0.01,20.521976470947266,True,515.4374656677246
225,2021-04-02 16:00:00,14,2,경기 양평 청운,0.2,23.856382369995117,False,29.049078702926636
222,2021-04-06 13:00:00,11,2,경기 고양 덕양,0.01,20.945655822753906,True,61.073100209236145
221,2021-04-07 12:00:00,11,1,경북 영천 고경,0.06,56.11662673950195,False,3.6407116055488586
220,2021-04-07 13:00:00,11,2,경남 진주 집현,0.01,14.952699661254883,False,5.846422374248505
219,2021-04-07 15:00:00,14,1,경기 파주 군내,0.01,,False,0.0
216,2021-04-08 13:00:00,11,2,충남 공주 이인,0.02,49.201820373535156,False,7.1058860421180725
215,2021-04-09 12:00:00,11,1,전남 광양 옥룡,0.1,10.80041217803955,False,0.0
214,2021-04-09 13:00:00,11,2,전남 화순 사평,0.15,30.429719924926758,False,0.0
213,2021-04-09 16:00:00,14,2,경기 안성 원곡,0.06,2.407831907272339,False,6.778171062469482
204,2021-04-11 13:00:00,11,2,충남 서산 음암,0.1,85.9031753540039,False,20.221460938453674
205,2021-04-11 13:00:00,11,2,충남 부여 옥산,0.01,68.4000015258789,False,33.371636897325516
200,2021-04-12 12:00:00,11,1,인천 중 nan,0.03,2.284196376800537,True,54.53078496456146
199,2021-04-13 15:00:00,14,1,경북 봉화 재산,0.5,79.93836975097656,False,0.0
198,2021-04-16 15:00:00,14,1,전남 나주 남평,0.2,31.95326042175293,False,0.0
197,2021-04-16 16:00:00,14,2,경북 영양 수비,1.0,16.97770118713379,False,5.132366895675659
194,2021-04-17 12:00:00,11,1,강원 평창 진부,0.01,98.40248107910156,False,0.0
193,2021-04-17 15:00:00,14,1,전남 여수 nan,0.2,1.0827113389968872,False,0.0
191,2021-04-18 13:00:00,11,2,경기 양평 양평,0.02,60.88691711425781,False,2198.218447625637
188,2021-04-19 13:00:00,11,2,경기 양평 옥천,0.33,93.67630004882812,False,0.0
187,2021-04-19 17:00:00,14,3,강원 횡성 공근,1.5,86.66333770751953,False,20.274667382240295
185,2021-04-20 14:00:00,11,3,전북 남원 인월,0.3,15.001579284667969,False,301.9726936221123
184,2021-04-20 15:00:00,14,1,강원 홍천 남,0.3,39.59330749511719,False,2.4860921502113342
61,2021-04-21 12:00:00,11,1,강원 평창 대관령,1.0,38.30575942993164,False,285.78957745432854
60,2021-04-21 14:00:00,11,3,충남 보령 주교,0.03,39.836238861083984,False,8.276098817586899
57,2021-04-22 13:00:00,11,2,경남 함양 서상,0.1,7.568625450134277,False,6.0546378791332245
58,2021-04-22 13:00:00,11,2,강원 철원 동송,0.02,,False,0.0
56,2021-04-22 15:00:00,14,1,충남 청양 청양,0.3,29.213294982910156,True,352.51573383808136
54,2021-04-22 17:00:00,14,3,충남 공주 유구,0.01,27.350276947021484,False,8.311230719089508
55,2021-04-22 17:00:00,14,3,경기 화성 마도,0.06,95.41506958007812,True,25.45949998497963
50,2021-04-23 16:00:00,14,2,경북 예천 효자,2.0,47.20376205444336,False,5.192622184753418
46,2021-04-24 14:00:00,11,3,경북 봉화 명호,0.01,54.825164794921875,False,3.6407116055488586
47,2021-04-24 14:00:00,11,3,경북 청송 현서,0.3,65.99993133544922,False,3.0020105838775635
43,2021-04-25 12:00:00,11,1,강원 평창 봉평,0.09,90.1982192993164,False,0.0
42,2021-04-25 13:00:00,11,2,전북 완주 경천,0.01,23.074934005737305,False,0.6897380352020264
41,2021-04-25 14:00:00,11,3,강원 원주 신림,1.5,63.45032501220703,False,0.0
39,2021-04-25 16:00:00,14,2,충북 충주 앙성,0.03,1.9127273559570312,False,2.4860921502113342
40,2021-04-25 16:00:00,14,2,경기 용인 처인,0.03,14.623160362243652,False,3116.113898307085
38,2021-04-25 17:00:00,14,3,전북 완주 구이,0.01,44.62334442138672,False,8.56546375155449
35,2021-04-26 17:00:00,14,3,경남 함양 서상,0.1,69.07987976074219,False,0.0
