T,top1pct_인구,top5pct_인구,wui_top5pct_격자,top10_인구,top10_평균위험상위%,max_prob,mean_prob,발화건수,발화_위험상위%
2021-02-20 06:00:00,1116460.211558342,3505641.9287931025,4315,25874.006922125816,0.334,0.28280729055404663,0.021452022716403008,0,
2021-02-20 07:00:00,1136514.507015273,4523613.790362895,4293,27960.5141402483,0.486,0.26114752888679504,0.020792163908481598,0,
2021-02-20 08:00:00,1065169.6955896616,5129023.376302928,4183,27842.250530809164,0.362,0.25928565859794617,0.020307978615164757,0,
2021-02-20 09:00:00,887445.697348088,5208802.214722976,4287,30183.026732891798,0.461,0.31234806776046753,0.02146143838763237,0,
2021-02-20 10:00:00,1243615.6743392348,4529514.272133991,4919,29829.285864800215,0.272,0.34673526883125305,0.0320604033768177,1,"강원 화천 상사(0.5ha,t+3h)=33.5%"
2021-02-20 11:00:00,1745187.486806661,5434337.345845357,6516,33855.72420695424,0.354,0.38321226835250854,0.058091528713703156,1,"강원 화천 상사(0.5ha,t+2h)=21.3%"
2021-02-20 12:00:00,1391365.010390669,4685549.887526423,7963,27988.748358100653,0.337,0.3863294720649719,0.08863843232393265,2,"강원 화천 상사(0.5ha,t+1h)=5.8%; 강원 정선 여량(12.0ha,t+3h)=41.8%"
2021-02-20 13:00:00,1568635.8073966205,6190587.540419906,9495,42629.50097772479,0.517,0.3911580443382263,0.11356990784406662,2,"강원 정선 여량(12.0ha,t+2h)=48.3%; 충남 당진 석문(0.01ha,t+3h)=nan%"
2021-02-20 14:00:00,1682301.293708533,6667760.891882449,10109,44159.66250896454,0.324,0.38671204447746277,0.12481050938367844,2,"강원 정선 여량(12.0ha,t+1h)=51.9%; 충남 당진 석문(0.01ha,t+2h)=nan%"
2021-02-20 15:00:00,1411959.3573182523,5744551.251604378,10060,44338.42940491438,0.334,0.37746885418891907,0.12660464644432068,1,"충남 당진 석문(0.01ha,t+1h)=nan%"
2021-02-20 16:00:00,1160792.1938164234,5195588.008159161,10178,49481.34229797125,0.48,0.36366787552833557,0.11688205599784851,0,
2021-02-20 17:00:00,845121.0397635698,4871013.586466759,10009,33207.87022474408,0.569,0.36179259419441223,0.09959831833839417,0,
2021-02-20 18:00:00,865947.5922760069,4831715.641584456,9758,35463.97789540887,0.55,0.34325459599494934,0.07420368492603302,0,
