date,hour,top1_pop,top5_pop,top1_pop_day,top5_pop_day,top1_pop_old,top5_pop_old,top5_old_house,wui_top5_cells,max_prob,mean_prob,top10_pop
2021-02-01,11,449654.6445529461,11413081.29389204,365652.5805360003,9608893.227293812,106997.61672000746,2114528.404984557,1014615.7322162581,3373,0.3140081465244293,0.013204817660152912,26628.093318402767
2021-02-01,14,489710.50488483906,7399231.569724336,419483.48803485057,6047063.287120104,114824.66077852363,1304316.9356016805,618172.2154328013,3890,0.35927966237068176,0.028608188033103943,20257.453926682472
2021-02-02,11,658450.3746944368,12322857.455752954,571832.9796023754,10086239.2685413,149916.79544479016,2198640.2035799082,997686.9819053942,3170,0.2507654130458832,0.008429673500359058,19170.049034923315
2021-02-02,14,607002.0624625087,12487822.826667354,533276.5132580271,10944163.881084455,141892.60124633933,2284754.7194630327,1060979.051371644,3282,0.28894099593162537,0.012715055607259274,17822.94457116723
2021-02-03,11,1304979.5841922462,17789360.935024723,1031889.497217003,13752259.601498771,257887.2390275054,3129526.978564945,1411334.2788303327,3461,0.2641880512237549,0.014138216152787209,19539.740375488997
2021-02-03,14,1624591.5540060997,15702404.865318924,1289346.8509165652,12937879.079747643,319871.8127314971,2789940.2736060303,1337184.2050664823,3541,0.3068729043006897,0.026600588113069534,28087.26573225856
2021-02-04,11,1223024.2839251757,4862818.009969875,1014422.5192403579,3787164.085249453,268023.42626700946,952447.217621498,495796.168050421,4149,0.329000324010849,0.021688928827643394,23071.94629523158
2021-02-04,14,713665.8639951646,6049675.459911063,614915.1900357618,4794173.667541586,160868.9226931521,1173947.0392145512,592439.2545884055,3840,0.32980436086654663,0.02761722542345524,21936.216153353453
2021-02-05,11,801863.1598241627,11262145.044734664,644952.2593745438,8648733.417686889,181877.87762423983,2088783.2805332306,1012152.0245169118,3352,0.32698845863342285,0.020034216344356537,21235.24788248539
2021-02-05,14,1463415.6000780463,5475396.288842514,1175135.6453019674,4240098.277389389,304035.2893212859,1069759.4649557988,583314.3004439429,4640,0.3523278534412384,0.043948978185653687,23975.995731413364
2021-02-06,11,3146443.37063089,8630111.076082222,2396540.0392396273,6650730.230178611,653172.1361534012,1721671.6663893936,876013.5807830949,5477,0.35946235060691833,0.03253169357776642,21896.759560465813
2021-02-06,14,933532.3859703243,6265145.779728264,714534.9716948792,4781137.3441553265,208351.110383721,1268679.612401638,661875.7544573438,7896,0.3633138835430145,0.05767747759819031,20445.23605978489
