T,top1pct_인구,top5pct_인구,top1pct_주간인구,top5pct_주간인구,top1pct_고령,top5pct_고령,top5pct_노후주택,wui_top5pct_격자,top10_인구,top10_주간인구,top10_고령,top10_평균위험상위%,max_prob,mean_prob,발화건수,발화_위험상위%
2021-02-14 06:00:00,246887.50011447072,567962.9040631801,214074.91053139814,486260.65327712154,52798.50651894767,125352.81172428984,64330.84965025417,2186,24532.575990229845,26943.549132525033,3711.046932407173,0.249,0.27947771549224854,0.03271808102726936,0,
2021-02-14 07:00:00,282728.30877929926,621636.8423657566,238726.65080359767,544016.9393063122,61886.15174073953,141510.06866747508,78988.23944548226,2141,21146.370466828346,26258.99034244519,3229.4448637249234,0.425,0.320152223110199,0.03453400358557701,0,
2021-02-14 08:00:00,262120.44375893474,540520.5796154588,212907.9437032988,456490.6571824728,59775.92912839571,129135.66470137374,73439.96344996404,2095,16491.632083147764,20698.424164690325,3422.6817827614677,0.188,0.31217122077941895,0.034395113587379456,1,"경기 여주 강천(0.06ha,t+3h)=76.9%"
2021-02-14 09:00:00,286518.56224888563,809493.1032842845,227728.83965109303,688073.8096575382,65043.62004582241,178977.3606267519,97761.54992385389,2462,15239.08935558796,20602.76770468671,3301.3702398093,0.31,0.3003990650177002,0.03304484859108925,1,"경기 여주 강천(0.06ha,t+2h)=75.6%"
2021-02-14 10:00:00,459140.01518660784,2076312.6288359612,373515.4182276627,1631957.4403258758,97446.30835056186,409667.05181129894,191794.56561589782,3566,15831.073113381863,25853.044895546158,3156.190258050438,0.538,0.3045792281627655,0.03606296330690384,1,"경기 여주 강천(0.06ha,t+1h)=74.7%"
2021-02-14 11:00:00,881140.3983329237,5145211.930782199,702073.998239473,3955170.5515301824,167702.20099583943,891557.9602631759,369716.971994288,6765,28704.301134705544,41491.53740381185,5381.759046428784,0.583,0.32092049717903137,0.04788631200790405,1,"대구 달성 논공(0.01ha,t+3h)=31.6%"
2021-02-14 12:00:00,1336659.3031618595,7510990.916378915,1043377.2136663473,5736508.438427733,229233.71631353826,1228520.1989007015,480394.44288282184,8195,25312.681682169437,43204.897983335104,3917.9806497802388,0.603,0.338676393032074,0.07187549024820328,1,"대구 달성 논공(0.01ha,t+2h)=67.3%"
2021-02-14 13:00:00,1228508.1714028716,5821144.770670414,972615.4448287596,4663290.04964577,228240.79466823622,1070250.270467997,463024.4343873187,9354,27446.261224120855,50313.7194934805,5615.4496952882855,0.55,0.3431719243526459,0.0981239601969719,1,"대구 달성 논공(0.01ha,t+1h)=35.8%"
2021-02-14 14:00:00,1046163.0803323984,4664949.518545389,851266.6340757676,3795249.1375360955,207216.40985991014,904601.416361809,406129.873527372,9431,22738.082441180944,50047.982288777246,4464.118946038089,0.746,0.34418636560440063,0.10492035001516342,0,
2021-02-14 15:00:00,939385.2738951445,3732083.4387660623,751885.1083853315,3021651.16583352,198855.97925331278,762876.9088220273,355599.9394658779,8880,25885.04618343711,38850.07559500432,4510.017741734229,0.692,0.33756619691848755,0.08942725509405136,0,
2021-02-14 16:00:00,839701.124043256,3186496.899416536,684609.2691206175,2614991.0206525316,178137.88774799265,661791.5695329045,316896.57471692946,7996,21291.60111603141,38483.58776683973,2664.9235815889847,0.621,0.3177332580089569,0.06590927392244339,0,
2021-02-14 17:00:00,978330.7206738591,3691703.697892815,786719.4349893301,3094055.1443112874,199370.57941199618,751847.4258542764,361511.1301769634,7756,23749.001882702112,39964.0245935146,3118.37252104936,0.572,0.27967748045921326,0.04465581849217415,0,
2021-02-14 18:00:00,1176596.611118257,4378355.658430517,974532.0539372207,3673400.579181278,227304.70375686008,859208.2283947249,400878.07433721924,6587,23943.54142230749,50035.98594797201,3751.5795343777418,0.615,0.25252968072891235,0.026979677379131317,0,
