date,hour,top1_pop,top5_pop,wui_top5_cells,max_prob,mean_prob,top10_pop
2021-02-01,11,374233.6042648554,700192.3789379597,2749,0.6006274223327637,0.01905764639377594,19108.304945886135
2021-02-01,14,230779.15674170852,1508878.5677268505,4383,0.6343925595283508,0.032798461616039276,26354.484010994434
2021-02-02,11,187184.70431625843,1133662.5324904472,3143,0.5224326848983765,0.02114449068903923,23956.20050507784
2021-02-02,14,180621.34801790118,1274939.2525736839,3404,0.5283827185630798,0.025516655296087265,20509.222675144672
2021-02-03,11,184001.53926676512,839852.1541489959,3272,0.2944980263710022,0.015589342452585697,17552.36474391818
2021-02-03,14,273132.91131177545,1923511.9689907134,4417,0.3822822868824005,0.024685461074113846,29814.541227847338
2021-02-04,11,320182.9067866802,1809990.7817337513,4205,0.4575687646865845,0.023311004042625427,18614.87384903431
2021-02-04,14,226961.43841677904,1401283.459735036,4263,0.46094465255737305,0.02993844263255596,21012.633806228638
2021-02-05,11,255503.3677907288,1053457.155278787,3167,0.3463795781135559,0.03262631595134735,18596.247530132532
2021-02-05,14,185813.71095129848,697284.2161029875,3858,0.5117658376693726,0.05319187045097351,16078.299332171679
2021-02-06,11,320864.98391100764,1479731.098925352,4085,0.544791579246521,0.06744970381259918,31358.42102393508
2021-02-06,14,233104.08042025566,1387166.8435025513,5670,0.6743700504302979,0.10013239830732346,35406.381326168776
2021-02-07,11,615053.7571460605,2101286.7230838835,3910,0.363396555185318,0.02876274473965168,38141.159590780735
2021-02-07,14,172027.53250268102,1067967.3132152855,7481,0.6240206360816956,0.08876944333314896,26345.727981239557
2021-02-08,11,710059.879173249,3379608.723626733,5840,0.6436052322387695,0.04559561610221863,38667.60801526904
2021-02-08,14,434570.96290025115,2446611.6643815637,6543,0.6673534512519836,0.0743347704410553,30810.4311889112
2021-02-09,11,918025.8663624525,2624845.458285868,6237,0.5159637928009033,0.04544788971543312,38187.09650427103
2021-02-09,14,356141.7119792998,1970768.1882011592,7764,0.6070858240127563,0.0764804407954216,32772.80725967884
2021-02-10,11,1237167.169096917,3222236.881809622,5659,0.4949507713317871,0.04382055997848511,39120.650263518095
2021-02-10,14,1018185.6850797534,3567862.153815955,7426,0.6393633484840393,0.07752574235200882,40649.84541583061
2021-02-11,11,930586.7411425412,3039970.617594108,4678,0.44621309638023376,0.032418206334114075,38460.472998946905
2021-02-11,14,822482.4537548125,3159990.4153680503,8446,0.47482651472091675,0.07910693436861038,31508.714924186468
2021-02-12,11,173446.0052228868,1378442.875694096,3104,0.6159048676490784,0.049312103539705276,26827.357150673866
2021-02-12,14,118003.73131087422,1269629.1545685828,6795,0.6208209991455078,0.14508163928985596,24708.22383210063
2021-02-13,11,337322.7947179079,1367431.4708394706,3509,0.6308979392051697,0.0773763582110405,35052.7846570909
2021-02-13,14,212993.11473235488,1020948.3413657546,4798,0.6480140686035156,0.19308353960514069,35543.15514072776
2021-02-14,11,301770.2556089461,1498320.1296198368,3812,0.6186752915382385,0.06810630857944489,35170.58274695277
2021-02-14,14,73754.33689844608,2249868.3539409637,6777,0.6665380597114563,0.13052040338516235,33796.14097818732
2021-02-15,11,274481.3030806184,666175.2929698527,2357,0.452909380197525,0.021500470116734505,19199.487778544426
2021-02-15,14,864817.6166668832,3334496.0118232965,5396,0.4853507876396179,0.03317496180534363,34142.88241222501
2021-02-16,11,636781.6865545362,1867655.0405503958,4392,0.3106151819229126,0.01191211212426424,30882.149215757847
2021-02-16,14,1177834.7214423716,2829915.094094366,5283,0.33046218752861023,0.018964286893606186,27479.663735747337
2021-02-17,11,890515.0061139166,2761685.1934413314,4724,0.2776453495025635,0.016319843009114265,40314.24937167764
2021-02-17,14,1103053.511643231,3618252.9292034507,5426,0.2821069359779358,0.017786795273423195,43472.67537352443
2021-02-18,11,990559.9665055573,3399760.899036467,5528,0.2560708522796631,0.016384823247790337,43481.02918210626
2021-02-18,14,1161543.8956812918,3783985.1963205934,6735,0.27424168586730957,0.020783681422472,40995.28998103738
2021-02-19,11,583215.0571804643,3153442.892355643,5618,0.4916846454143524,0.03233641758561134,30745.983300954103
2021-02-19,14,551784.3891401887,3010686.454705566,6851,0.6656234860420227,0.06082438305020332,33363.74267247319
2021-02-20,11,814405.4729320705,3724169.4766225517,5953,0.6382113099098206,0.05091237649321556,30175.4406478405
2021-02-20,14,153755.05860975385,1498678.903003633,4751,0.8036994338035583,0.13134443759918213,29473.738915741444
2021-02-21,11,563864.1327713281,3062047.294204727,6080,0.7874426245689392,0.0964042991399765,35824.05276671052
2021-02-21,14,197685.19116206467,1226093.0533192307,4243,0.797909677028656,0.2575787603855133,33039.24782034755
2021-02-22,11,147334.9503698647,1114752.6633543968,4461,0.8042691946029663,0.12299482524394989,27295.855236649513
2021-02-22,14,174523.57849889994,1051772.5571601093,3894,0.825303852558136,0.1919299066066742,28343.01132044196
2021-02-23,11,1206878.0859583318,4682066.118536666,7000,0.7175123691558838,0.07503308355808258,40275.46058112383
2021-02-23,14,791913.6355675757,3427233.093305528,7819,0.7009217739105225,0.10603215545415878,39930.48025080562
2021-02-24,11,934777.5128633827,3881016.097173989,7301,0.6041603684425354,0.08655261248350143,32279.849304288626
2021-02-24,14,883793.7490440905,3683456.289619297,9577,0.5884710550308228,0.13174697756767273,35522.88836508989
2021-02-25,11,1951752.9488755763,7438073.738853991,7548,0.5122007727622986,0.0668066218495369,49583.42843878269
2021-02-25,14,1511597.690193504,7408483.983109832,9739,0.4657883644104004,0.07883293181657791,47053.792271375656
2021-02-26,11,1183852.8447289765,7917607.6172067225,8978,0.5332168340682983,0.06279365718364716,53905.671077251434
2021-02-26,14,919305.4329293668,5036509.685021952,8480,0.6353713870048523,0.11643003672361374,53812.99492961168
2021-02-27,11,1352701.6829130352,7813375.681197211,7915,0.5185460448265076,0.06404909491539001,46073.96684136987
2021-02-27,14,395060.3185260594,4607312.243798658,8162,0.610480010509491,0.08588416129350662,37378.09895551205
2021-02-28,11,2444636.6170014143,13718147.50976652,7539,0.4575289189815521,0.03814255818724632,56222.2162309289
2021-02-28,14,307515.2030450702,2152096.936794549,8434,0.5709372162818909,0.07180950045585632,29733.40442031622
2021-03-01,11,1017807.9404469728,7475544.760093585,5368,0.23080475628376007,0.013256900943815708,41573.86592555046
2021-03-01,14,909137.9216073453,7307269.17361179,5021,0.24038198590278625,0.013914969749748707,39724.30192357302
2021-03-02,11,828430.1861515343,1954229.5165867805,3076,0.0074641467072069645,0.0010489197447896004,30643.749824792147
2021-03-02,14,920208.6434096396,2633028.7805116996,4017,0.011145700700581074,0.0015395550290122628,30608.884798705578
2021-03-03,11,562488.7945239916,1972639.904934235,3364,0.07302328199148178,0.001622600480914116,21978.098027408123
2021-03-03,14,639104.9529296011,1774056.8280170262,3290,0.08951027691364288,0.0027509545907378197,24602.474374890327
2021-03-04,11,851162.6076152027,2270729.1937869117,3543,0.027530908584594727,0.002098155440762639,28180.49860867858
2021-03-04,14,501927.3483042717,2470800.185855545,3504,0.03045155107975006,0.002391216577962041,21344.057308375835
2021-03-05,11,291354.913772583,2553758.8325087875,2712,0.03691672906279564,0.0013151898747310042,25405.958076536655
2021-03-05,14,244205.80338191986,1645671.6009786725,2555,0.06616219878196716,0.0037335120141506195,24684.90131983161
2021-03-06,11,2388771.1441485435,5659919.971173599,4407,0.2527744472026825,0.009839962236583233,46147.63940855861
2021-03-06,14,4444997.019797176,12950290.543429896,5423,0.3167968988418579,0.011653142981231213,51757.103358864784
2021-03-07,11,2864116.492323369,10928979.903127894,6464,0.24699260294437408,0.008544506505131721,48086.17778658867
2021-03-07,14,3242397.658209175,9834892.328898013,6706,0.257583886384964,0.012518219649791718,50173.778462171555
2021-03-08,11,4579815.710204825,10335561.099993736,5194,0.20448337495326996,0.010530776344239712,59009.00726738572
2021-03-08,14,1674744.560402304,7281398.64345935,7401,0.33949413895606995,0.033110082149505615,45785.20513796806
2021-03-09,11,2169557.764098875,7363082.846952923,4839,0.3563319742679596,0.01759278029203415,50877.799299418926
2021-03-09,14,1990370.9245762676,7020401.523166016,7917,0.4726064205169678,0.05016174167394638,45407.95134449005
2021-03-10,11,1271079.3834647238,4190848.0344320163,5982,0.6000512838363647,0.03506993502378464,36563.69610321522
2021-03-10,14,345887.75006082654,4138199.947570935,6408,0.6459558606147766,0.09270033985376358,28384.64665403962
2021-03-11,11,865428.4745931625,3820820.1598703116,4506,0.5550225377082825,0.041313160210847855,39289.20336037874
2021-03-11,14,319110.7301813364,4361562.0886632055,7604,0.6618411540985107,0.13665439188480377,31067.523033350706
2021-03-12,11,2590026.085826099,9314716.503711492,5446,0.323319673538208,0.02391733229160309,50562.872712641954
2021-03-12,14,5143445.825609267,19309046.90844059,6466,0.4085201323032379,0.01939588226377964,59205.92908370495
2021-03-13,11,3030712.721009463,12680760.97506389,6576,0.2814238667488098,0.010905526578426361,59032.13521578908
2021-03-13,14,2247225.689166665,8745898.490608752,8104,0.3275441527366638,0.02846040390431881,46718.109044373035
2021-03-14,11,1908797.029036805,6072311.845909998,4796,0.23663181066513062,0.011122876778244972,49035.58899626136
2021-03-14,14,2076235.5348085165,7522598.502767667,7046,0.4478478729724884,0.02114100195467472,44948.22593232989
2021-03-15,11,2362584.5209960043,9178460.345996812,4896,0.26607799530029297,0.012198383919894695,46791.4148504138
2021-03-15,14,1482398.472775787,4713117.798971057,6337,0.629743218421936,0.04423747584223747,37878.15000098944
2021-03-16,11,305830.4194033444,2662912.2642188966,3888,0.6857168078422546,0.02291310951113701,39055.84809756279
2021-03-16,14,580313.6749312282,3906065.1938717365,5864,0.8096584677696228,0.04732820764183998,35612.233258366585
2021-03-17,11,689633.8380623162,2753928.975317821,5337,0.5083461999893188,0.047726716846227646,32413.44643691182
2021-03-17,14,158584.14382100105,3301130.84680517,6713,0.6466296911239624,0.11284448206424713,29359.48133406043
2021-03-18,11,1959740.1567879617,7578410.246122986,6751,0.3220720589160919,0.041654352098703384,41936.39037805796
2021-03-18,14,1228088.9454517365,5274391.6771950275,8272,0.6349908113479614,0.09605605900287628,32184.93818283081
2021-03-19,11,2066097.0996045172,6975950.431097448,7603,0.5109712481498718,0.05208467319607735,47917.49992018938
2021-03-19,14,809738.883027494,5293411.4238168,8498,0.5897939205169678,0.10434474050998688,41988.17505457997
2021-03-20,11,1166339.877134353,7627343.801179707,5478,0.256637305021286,0.013237192295491695,43903.31459584832
2021-03-20,14,2761533.9781402647,6655424.994061083,5387,0.21376827359199524,0.008762012235820293,53007.71273705363
2021-03-21,11,2490038.830099672,8800793.905551046,5607,0.19607311487197876,0.006263121031224728,49545.50669851899
2021-03-21,14,1463869.2112089992,6029139.856905788,5744,0.4036098122596741,0.015397829003632069,40027.28980255127
2021-03-22,11,1626798.6604844928,6247211.524086148,5590,0.41541463136672974,0.01595006324350834,36848.190761476755
2021-03-22,14,1420874.820761308,5189628.257863805,6469,0.5791798233985901,0.03548899665474892,28754.51537233591
