prow,pcol,pop_total,households,houses,low_count_only,adm_cd,adm_nm,day_idx,old_ratio,avg_age,oldage_suprt_per,old_per_health,old_house_ratio,pop_day,pop_old,old_house,pop_expo,forest_ratio,is_wui,expo_rank,T,vpd,wind,hum4d,prcp4d,ndmi,y_prob_t1,haz_rank_t1,haz_top_t1,y_prob_t2,haz_rank_t2,haz_top_t2,y_prob_t3,haz_rank_t3,haz_top_t3,score_t1,occ_h00,occ_h01,occ_h02,occ_h03,occ_h04,occ_h05,occ_h06,occ_h07,occ_h08,occ_h09,occ_h10,occ_h11,occ_P_lgbm,occ_ndvi,occ_ndmi,occ_hum4d,occ_prcp4d,occ_doy_sin,occ_doy_cos,rank
632,1081,518.441386371851,299.0820309519768,148.45757380127907,False,11010610,종로1·2·3·4가동,16.479640631792495,0.2183741486741052,46.7,29.4,11.05,0.3630991464215364,8543.727736056388,113.2141963863758,53.90481832705668,8543.727736056388,0.32,True,99.93405803388822,2021-02-14 06:00:00,4.5720434,1.2201499,59.704357,0.0,-0.0446,0.11761415,99.9018752436544,0.0981247563456122,0.12125933,99.89073675779892,0.1092632422010808,0.11758455,99.79552922393924,0.2044707760607451,99.9179666387713,-0.00047612935,0.0006554276,0.0013651699,0.0017594621,-8.713454e-05,0.0012180656,0.006164685,0.013646923,0.013029195,0.0021676347,-0.011544138,-0.025269851,0.0736802,0.012529738,-0.00017280877,0.0022708252,0.0,0.0,0.0,1
634,1073,3797.614904940128,726.3309886455536,390.5618250072002,False,11130750,신촌동,1.1699593000802115,0.0609310478001247,31.6,6.7,32.38,0.2070733863837312,4443.054876157931,231.39265529937325,80.87495969645119,4443.054876157931,0.34,True,99.6933450673674,2021-02-14 06:00:00,4.4726667,1.1831911,61.81916,0.0,-0.081,0.091517225,99.400378178115,0.5996218218849947,0.09065491,99.42159434164918,0.5784056583508175,0.09290278,98.94953470301348,1.0504652969865165,99.5468616227412,-0.00057275593,0.00042012334,0.0011718497,0.00093893707,-0.00031837076,0.0010450333,0.006488085,0.012981005,0.010964513,0.0023498908,-0.008244395,-0.018257685,0.04805016,0.01194118,0.00090069324,-0.0039299726,0.0,0.0,0.0,2
628,1074,3746.997982501984,1627.0393469035623,1288.002372264862,False,11130640,홍제3동,0.5410013686131386,0.2303832116788321,46.6,33.5,93.59,0.2535584243627938,2027.1310367242424,863.2454293629113,326.583852087019,2027.1310367242424,0.31,True,98.5537389838492,2021-02-14 06:00:00,4.5904007,0.81481254,61.137573,0.0,-0.1045,0.1277295,99.93131267055809,0.0686873294419285,0.13808742,99.93422989304402,0.0657701069559806,0.14165597,99.92653903376288,0.0734609662371212,99.24252582720362,-0.00015935302,0.000422135,0.0011625141,0.00032031536,-0.00063097477,0.00072444975,0.0052643865,0.008652933,0.0109304935,0.0032265633,-0.008624345,-0.017399713,0.08363638,0.015824094,0.0010253489,-0.00224559,0.0,0.0,0.0,3
1251,1206,1282.5727129280567,476.2663826048374,474.6475762724877,False,36020680,주삼동,1.5424335378323109,0.1523517382413088,40.8,22.3,244.6,0.0933948863636363,1978.2831671288072,195.40218223546057,44.32965644874441,1978.2831671288072,0.49,True,98.5058938730989,2021-02-14 06:00:00,5.324534,0.9872647,48.84127,0.0,0.1153,0.16366796,99.97294939149393,0.0270506085060873,0.1766731,99.97003216900796,0.0299678309920352,0.16813582,99.96313691585937,0.0368630841406485,99.2394216322964,0.00111714,0.0025909543,0.003174454,0.0015923232,-2.4095178e-05,0.00039218366,0.006804213,0.013373181,0.012759626,0.005637601,-0.031296045,-0.04527016,0.119828045,-0.00060358644,-0.0041400194,0.040851302,0.0,0.0,0.0,4
1261,1197,2039.9436214268208,769.5336823165417,769.5336823165417,False,36020650,쌍봉동,0.8334989581663728,0.1416252604584068,42.4,19.3,52.01,0.2323090430201931,1700.2908831773923,288.90754670503907,178.76963331076112,1700.2908831773923,0.57,True,98.21659208944308,2021-02-14 06:00:00,5.398213,0.8000715,49.994083,0.0,-0.018,0.12362851,99.9228262051444,0.0771737948556108,0.13160479,99.91990898265844,0.0800910173415729,0.13022791,99.88967594962222,0.110324050377784,99.06970914729374,-4.5783818e-05,0.001201883,0.0022313073,0.0010245219,0.00021260232,0.00014205277,0.006012492,0.011086218,0.008064836,0.0066490024,-0.015499711,-0.020507276,0.069573894,0.0034118071,-0.00084890425,0.030550763,0.0,0.0,0.0,5
630,1072,4847.433991968632,2141.269020229578,1712.201713711023,False,11130620,홍제1동,0.4973112676643461,0.2035516278294218,45.2,28.9,110.87,0.4065934065934066,2410.683543465162,986.7030798608874,696.1699275528337,2410.683543465162,0.35,True,98.88320091227985,2021-02-14 06:00:00,4.6416,0.9649714,61.2511,0.0,-0.099,0.08779009,99.12032481946372,0.8796751805362817,0.08581405,99.12536365830309,0.8746363416969274,0.09075788,98.7479811494387,1.2520188505612992,99.00176286587175,-0.00024461746,0.0006033629,0.0012789294,0.00031978637,-0.0008023158,0.00075122714,0.005647786,0.009392746,0.010189101,0.0028659105,-0.0076802894,-0.01441066,0.04127811,0.013914928,0.0013984218,-0.0023283362,0.0,0.0,0.0,6
642,1455,2088.049348473549,1045.0031283795834,977.162208855152,False,32040510,천곡동,0.779376904842533,0.1988824923806298,44.8,29.6,95.46,0.3590901346055546,1627.377438371782,415.27645863816974,350.8893091092576,1627.377438371782,0.49,True,98.1256120083791,2021-02-14 06:00:00,3.9688447,1.0299082,49.74317,0.0,-0.0237,0.10108236,99.7424888151038,0.2575111848962024,0.1043851,99.76768300930064,0.2323169906993598,0.108727515,99.65948057527628,0.3405194247237233,98.93405041174144,-0.0004472807,0.00042627752,-1.9192696e-05,-0.00058734417,-0.0012048334,0.00095071644,0.0034461766,0.0055942386,-0.0016297176,-0.0046011508,0.008099847,0.03433963,0.022600852,0.0035306737,-0.0005131811,0.024994612,0.0,0.0,0.0,7
629,1081,2540.8004998862743,1111.5638474822044,644.2732253074646,False,11010730,혜화동,0.5750895044281138,0.1213491614848313,37.3,14.5,82.5,0.2465024630541872,1461.1877003303014,308.32401016143973,158.8149369181553,1461.1877003303014,0.51,True,97.92481128450488,2021-02-14 06:00:00,4.637601,0.72150004,59.355656,0.0,-0.0584,0.12317463,99.92123499287932,0.0787650071206798,0.13476413,99.92627383171867,0.0737261682813112,0.13432074,99.90691408249374,0.0930859175062579,98.92302313869207,-0.00071021914,0.0007760376,0.0016197115,0.001426369,-0.00039087236,0.0008523464,0.0055776015,0.012704417,0.014449246,0.0037476793,-0.013489403,-0.030035324,0.085908696,0.00418894,0.00016778708,0.0034757853,0.0,0.0,0.0,8
634,1072,1236.5145863592625,256.17074677348137,152.12352457642555,False,11130750,신촌동,1.1699593000802115,0.0609310478001247,31.6,6.7,32.38,0.2070733863837312,1446.671739995855,75.34212936700773,31.5007333826692,1446.671739995855,0.43,True,97.90646652701514,2021-02-14 06:00:00,4.3647103,1.1644437,63.053623,0.0,-0.0745,0.104698084,99.79552922393924,0.2044707760607451,0.108692795,99.81356296294332,0.1864370370566916,0.1073735,99.62818673406336,0.3718132659366517,98.8509978754772,-0.0010386631,-7.678568e-05,0.000930503,0.0010715276,-0.000308685,0.00094681233,0.006907761,0.0154233575,0.01280421,0.0031476468,-0.007683173,-0.01844307,0.06476881,0.006908983,0.0004907921,-0.007546775,0.0,0.0,0.0,9
1260,1206,2434.206955373287,1118.2641988694668,1102.9874913990498,False,36020660,시전동,0.5361668235464485,0.0958173436632635,38.2,13.3,156.07,0.2277454988881715,1305.141011117167,233.2392443905088,251.20043649608945,1305.141011117167,0.51,True,97.70640950952564,2021-02-14 06:00:00,5.5182695,0.9,59.312454,0.0,0.1486,0.10490375,99.79897685051355,0.2010231494864314,0.10959081,99.82098862018027,0.1790113798197126,0.10210106,99.47330874026376,0.5266912597362392,98.7526931800196,0.0011189654,0.0006116703,0.0011963099,0.0011561662,0.00030162185,0.00030747056,0.0057748705,0.009828828,0.0058286414,0.005120136,-0.011416294,-0.0061116517,0.07211506,-0.010009281,-0.0045706853,0.0033221543,0.0,0.0,0.0,10
