prow,pcol,P_lgbm,y_prob_t1,y_prob_t2,y_prob_t3,pop_total,pop_male,pop_female,households,houses,coverage,low_count_only,x_5179,y_5179,forest_ratio,haz_rank_t1,haz_top_t1,haz_rank_t2,haz_top_t2,haz_rank_t3,haz_top_t3,expo_rank,is_wui,score_t1,score_t2,score_t3,지명
1179,1442,0.50717074,0.38432366,0.28874102,0.21137944,3762.860257744789,1784.339317560196,1976.9520264565945,1651.4640729427338,1454.6754437983036,1.0,False,1135591.4294307148,1679614.0711620022,0.55,99.57549997569657,0.4245000243034269,98.42729761988345,1.572702380116553,98.24772222792303,1.7522777720769653,98.987815610397,True,99.28165779304679,98.70755661514022,98.61776891916003,부산광역시 사하구 괴정1동
949,1335,0.23012675,0.41056973,0.3518418,0.2743054,3060.094759583473,1558.7392829060555,1499.5279111862183,1311.4621942341328,1271.6184689998627,1.0,False,1082091.4294307148,1794614.0711620022,0.78,99.91142747584509,0.08857252415491246,99.87092174833522,0.1290782516647795,99.83554674630993,0.1644532536900698,98.62835752444936,True,99.26989250014722,99.24963963639229,99.23195213537964,경상북도 구미시 양포동
950,1320,0.111613944,0.38699964,0.3469974,0.26835036,3024.224452883005,1504.225332558155,1520.5130281746387,1157.5542385876179,1111.5577247440815,1.0,False,1074591.4294307148,1794114.0711620022,0.64,99.61411543592263,0.38588456407737226,99.77586830777871,0.2241316922212917,99.70970895284593,0.2902910471540707,98.6112522776008,True,99.11268385676172,99.19356029268975,99.16048061522336,경상북도 구미시 도량동
1173,1390,0.14496352,0.3649287,0.32390505,0.2454511,3672.5890900194645,1836.3247437179089,1836.0854824781418,1264.5428793430328,1249.280557692051,1.0,False,1109591.4294307148,1682614.0711620022,0.51,99.24497323921602,0.7550267607839771,99.2843988139923,0.715601186007703,99.27359728665634,0.7264027133436599,98.94666385710921,True,99.09581854816261,99.11553133555076,99.11013057188278,경상남도 창원시 진해구 풍호동
949,1319,0.1059423,0.38543406,0.34671918,0.2678828,2899.9203863739967,1396.7405570149422,1505.025209903717,1247.121802330017,1228.3550289571285,1.0,False,1074091.4294307148,1794614.0711620022,0.31,99.59224234306731,0.40775765693268795,99.76830723864354,0.2316927613564559,99.69971754006016,0.3002824599398366,98.53564212848768,True,99.06394223577749,99.15197468356561,99.11767983427393,경상북도 구미시 도량동
805,1099,0.1434888,0.3412043,0.2949951,0.21200286,4621.858692824841,2276.9827379882336,2344.235243231058,1971.8154635727406,440.6500634253025,1.0,False,964091.4294307149,1866614.0711620022,0.54,98.67195221404307,1.328047785956926,98.59418121722412,1.4058187827758815,98.27445600807955,1.7255439919204463,99.3299205473679,True,99.0009363807055,98.96205088229601,98.80218827772373,충청남도 천안시 서북구 불당1동
1012,1351,0.17551318,0.39588934,0.3444893,0.26587036,2480.2366729080677,1295.8548231124878,1182.38184979558,1277.6052607893944,486.8547419011593,1.0,False,1090091.4294307148,1763114.0711620022,0.38,99.74076334393683,0.25923665606316604,99.71808013653131,0.281919863468687,99.66461257621827,0.33538742378172515,98.25253789803784,True,98.99665062098734,98.98530901728458,98.95857523712806,대구광역시 달서구 신당동
992,1365,0.12871881,0.39635807,0.3569059,0.2783886,2301.92337757349,1119.832914441824,1183.0076415538788,908.6094585061073,843.0659022033215,1.0,False,1097091.4294307148,1773114.0711620022,0.45000002,99.74643414578821,0.2535658542117858,99.9405915996522,0.05940840034780592,99.90278625397632,0.09721374602368371,98.1256120083791,True,98.93602307708366,99.03310180401564,99.0141991311777,대구광역시 북구 국우동
803,1104,0.20298004,0.35301068,0.30122325,0.21999066,3208.5453223884106,1546.0172636508942,1664.1687703430653,1599.119302302599,1350.1883152127266,1.0,False,966591.4294307149,1867614.0711620022,0.65,98.98357627768567,1.0164237223143289,98.75917454728098,1.2408254527190223,98.55961632974902,1.4403836702509807,98.71066103102496,True,98.84711865435531,98.73491778915297,98.63513868038699,충청남도 천안시 서북구 쌍용3동
675,1236,0.12690492,0.36212596,0.33921236,0.27595675,2802.185240507126,1355.0360308885574,1448.2695840597153,1082.23123177886,1071.0405511558056,1.0,False,1032591.4294307149,1931614.0711620022,0.53999996,99.18394460976782,0.8160553902321794,99.60061352675268,0.39938647324731846,99.86363071738343,0.13636928261657033,98.47441030281246,True,98.82917745629014,99.03751191478257,99.16902051009794,강원특별자치도 원주시 지정면
966,1325,0.265875,0.41637695,0.35075894,0.27022386,1693.8433231413364,866.3815061450005,825.8330978453159,678.5780745446682,621.8659981489182,1.0,False,1077091.4294307148,1786114.0711620022,0.44,99.94734255423717,0.05265744576283282,99.85093892276367,0.14906107723632545,99.751024794906,0.2489752050939984,97.62286649230883,True,98.78510452327299,98.73690270753625,98.68694564360742,경상북도 구미시 임오동
1024,1354,0.07054499,0.34325606,0.30144972,0.2290494,3422.941446006298,1665.6163980960846,1759.3370403647423,1422.2723600268364,1352.6335644125938,1.0,False,1091591.4294307148,1757114.0711620022,0.52,98.72947034710708,1.2705296528929182,98.76430527276557,1.2356947272344314,98.8504474532699,1.1495525467301064,98.82618342278468,True,98.77782688494588,98.79524434777512,98.83831543802728,대구광역시 달서구 진천동
959,1339,0.55501837,0.43301308,0.3409717,0.27275553,1605.7330071628094,901.2711375951767,705.5391280055046,784.9632819890976,414.9629719853401,1.0,False,1084091.4294307148,1789614.0711620022,0.71999997,99.99216889268142,0.007831107318580166,99.63895894879536,0.36104105120463714,99.80665266068623,0.19334733931377457,97.53932347509203,True,98.76574618388673,98.5891412119437,98.67298806788912,경상북도 구미시 인동동
1007,1483,0.09215503,0.36663067,0.32911637,0.24539976,2344.0748906731606,1107.2537715733051,1235.1923999488354,919.6840023994446,855.0100454390049,1.0,False,1156091.4294307148,1765614.0711620022,0.41,99.27710778304052,0.7228922169594796,99.40132534740412,0.598674652595875,99.27278717210613,0.7272128278938652,98.1580871871785,True,98.71759748510951,98.77970626729132,98.71543717964232,경상북도 경주시 용강동
