fire_id,ignite_h,scan_hour,horizon,loc,damagearea,haz_top_pct,is_wui,pop
104,2021-02-27 15:00:00,14,1,경기 고양 덕양,0.1,4.509507656097412,True,65.08924186229706
105,2021-02-27 15:00:00,14,1,경기 광주 초월,0.16,9.534038543701172,True,28.666245371103287
102,2021-02-28 13:00:00,11,2,울산 울주 온양,0.02,67.7285385131836,False,4.861961394548416
100,2021-03-09 15:00:00,14,1,전북 장수 장수,0.05,61.68306350708008,False,324.3364762067795
99,2021-03-10 12:00:00,11,1,경기 포천 신북,0.5,63.629356384277344,True,14.189172208309174
98,2021-03-10 15:00:00,14,1,경남 통영 도산,0.01,85.09889221191406,True,10.158042699098587
96,2021-03-11 14:00:00,11,3,강원 영월 김삿갓,0.5,4.013777732849121,True,27.867340177297592
95,2021-03-14 17:00:00,14,3,경기 광주 남한산성,0.01,4.168051719665527,True,35.08872726559639
93,2021-03-15 15:00:00,14,1,경기 파주 파평,0.3,,False,17.529498428106308
94,2021-03-15 15:00:00,14,1,경기 화성 남양,0.4,30.424596786499023,True,12.282446265220642
92,2021-03-16 15:00:00,14,1,전북 익산 성당,0.13,82.92332458496094,False,1113.2064553797245
90,2021-03-17 12:00:00,11,1,경기 오산 nan,0.2,10.268287658691406,False,2032.38872975111
88,2021-03-18 14:00:00,11,3,전북 완주 봉동,0.03,35.03700256347656,False,2.7957809269428253
85,2021-03-19 14:00:00,11,3,경북 상주 이안,0.03,44.805213928222656,True,12.75285530090332
84,2021-03-19 15:00:00,14,1,경기 파주 탄현,0.7,,False,53.83834245800972
81,2021-03-22 12:00:00,11,1,경북 문경 호계,0.3,24.822460174560547,False,2.480112701654434
79,2021-03-23 14:00:00,11,3,전북 무주 부남,0.1,28.63109588623047,False,8.540730029344559
80,2021-03-23 14:00:00,11,3,경남 밀양 상동,0.03,1.157667636871338,False,4.899417668581009
76,2021-03-23 15:00:00,14,1,강원 홍천 화촌,20.0,46.06930160522461,False,8.04954531788826
77,2021-03-23 15:00:00,14,1,경북 영주 nan,0.2,29.79563331604004,False,2.5371291637420654
78,2021-03-23 15:00:00,14,1,충북 충주 수안보,4.4,24.204057693481445,False,267.14387434720993
75,2021-03-23 17:00:00,14,3,경기 포천 내촌,0.05,5.060947895050049,True,36.663346976041794
73,2021-03-24 16:00:00,14,2,전북 부안 위도,2.0,,False,5.197931885719299
71,2021-03-25 13:00:00,11,2,경남 창녕 대합,0.1,4.645054817199707,False,11.589674592018127
69,2021-03-26 12:00:00,11,1,경남 거창 고제,1.0,46.016353607177734,False,0.0
68,2021-03-26 13:00:00,11,2,전남 장성 삼계,0.1,67.5647964477539,False,5.123646795749664
67,2021-03-26 16:00:00,14,2,충남 청양 목,0.33,36.74382781982422,False,0.0
240,2021-03-30 14:00:00,11,3,강원 삼척 가곡,0.5,1.0175241231918335,False,8.10011774301529
239,2021-03-31 12:00:00,11,1,경북 군위 효령,0.1,3.2251288890838623,True,12.806373536586761
237,2021-03-31 15:00:00,14,1,강원 양구 양구,0.5,0.04785846546292305,True,582.6293315291405
238,2021-03-31 15:00:00,14,1,강원 정선 신동,10.7,25.566789627075195,False,3.6407116055488586
235,2021-04-01 12:00:00,11,1,충남 태안 남,0.01,59.29770278930664,False,0.0
236,2021-04-01 12:00:00,11,1,충남 공주 우성,0.1,29.94876480102539,False,2.4860921502113342
234,2021-04-01 15:00:00,14,1,경기 고양 덕양,0.01,1.700570821762085,False,471.29670092463493
233,2021-04-01 16:00:00,14,2,경기 안성 고삼,0.4,2.4543416500091553,True,35.15550035238266
228,2021-04-02 12:00:00,11,1,경남 창녕 대합,0.02,66.13162994384766,False,35.13128951191902
226,2021-04-02 14:00:00,11,3,전북 남원 주천,0.02,38.90946578979492,True,54.988734900951385
227,2021-04-02 14:00:00,11,3,충북 청주 상당,0.01,19.695886611938477,True,515.4374656677246
225,2021-04-02 16:00:00,14,2,경기 양평 청운,0.2,13.015376091003418,False,29.049078702926636
222,2021-04-06 13:00:00,11,2,경기 고양 덕양,0.01,14.713953018188477,True,61.073100209236145
221,2021-04-07 12:00:00,11,1,경북 영천 고경,0.06,74.84565734863281,False,3.6407116055488586
220,2021-04-07 13:00:00,11,2,경남 진주 집현,0.01,61.1572265625,False,5.846422374248505
219,2021-04-07 15:00:00,14,1,경기 파주 군내,0.01,,False,0.0
216,2021-04-08 13:00:00,11,2,충남 공주 이인,0.02,17.590518951416016,False,7.1058860421180725
215,2021-04-09 12:00:00,11,1,전남 광양 옥룡,0.1,31.29490089416504,False,0.0
214,2021-04-09 13:00:00,11,2,전남 화순 사평,0.15,72.91667938232422,False,0.0
