fire_id,ignite_h,end_h,hours,damagearea,source,n_cells,coord_src,loc
66,2021-03-26 18:00:00,2021-03-26 21:00:00,4,0.01,point,1,original,경기 용인 처인
67,2021-03-26 16:00:00,2021-03-26 18:00:00,3,0.33,point,1,sgis_recovered,충남 청양 목
68,2021-03-26 13:00:00,2021-03-26 15:00:00,3,0.1,point,1,original,전남 장성 삼계
69,2021-03-26 12:00:00,2021-03-26 16:00:00,5,1.0,point,1,original,경남 거창 고제
70,2021-03-25 21:00:00,2021-03-25 23:00:00,3,0.1,point,1,original,경기 광주 도척
71,2021-03-25 13:00:00,2021-03-25 14:00:00,2,0.1,point,1,sgis_recovered,경남 창녕 대합
72,2021-03-25 11:00:00,2021-03-25 12:00:00,2,0.1,point,1,original,전북 익산 함라
73,2021-03-24 16:00:00,2021-03-24 19:00:00,4,2.0,point,1,original,전북 부안 위도
74,2021-03-23 18:00:00,2021-03-23 19:00:00,2,0.01,point,1,sgis_recovered,울산 중 nan
75,2021-03-23 17:00:00,2021-03-23 17:00:00,1,0.05,point,1,original,경기 포천 내촌
76,2021-03-23 15:00:00,2021-03-24 11:00:00,21,20.0,point,1,original,강원 홍천 화촌
77,2021-03-23 15:00:00,2021-03-23 17:00:00,3,0.2,point,1,original,경북 영주 nan
78,2021-03-23 15:00:00,2021-03-23 18:00:00,4,4.4,point,1,original,충북 충주 수안보
79,2021-03-23 14:00:00,2021-03-23 16:00:00,3,0.1,point,1,original,전북 무주 부남
80,2021-03-23 14:00:00,2021-03-23 15:00:00,2,0.03,point,1,original,경남 밀양 상동
81,2021-03-22 12:00:00,2021-03-22 15:00:00,4,0.3,point,1,original,경북 문경 호계
82,2021-03-21 19:00:00,2021-03-21 21:00:00,3,0.04,point,1,original,경기 안산 상록
83,2021-03-20 00:00:00,2021-03-20 04:00:00,5,0.2,point,1,sgis_recovered,경기 여주 대신
84,2021-03-19 15:00:00,2021-03-19 18:00:00,4,0.7,point,1,original,경기 파주 탄현
85,2021-03-19 14:00:00,2021-03-19 15:00:00,2,0.03,point,1,sgis_recovered,경북 상주 이안
86,2021-03-19 08:00:00,2021-03-19 09:00:00,2,0.05,point,1,original,경기 여주 흥천
87,2021-03-18 19:00:00,2021-03-18 22:00:00,4,0.1,point,1,original,충남 아산 송악
88,2021-03-18 14:00:00,2021-03-18 15:00:00,2,0.03,point,1,original,전북 완주 봉동
89,2021-03-17 23:00:00,2021-03-18 02:00:00,4,0.09,point,1,original,서울 서초 nan
90,2021-03-17 12:00:00,2021-03-17 16:00:00,5,0.2,point,1,original,경기 오산 nan
91,2021-03-17 11:00:00,2021-03-17 12:00:00,2,0.03,point,1,original,인천 옹진 영흥
92,2021-03-16 15:00:00,2021-03-16 17:00:00,3,0.13,point,1,original,전북 익산 성당
93,2021-03-15 15:00:00,2021-03-15 17:00:00,3,0.3,point,1,original,경기 파주 파평
