prow,pcol,forest_ratio,pop_total,households,houses,low_count_only,is_wui,expo_rank,T,vpd,wind,hum4d,prcp4d,ndmi,y_prob_t1,haz_rank_t1,haz_top_t1,y_prob_t2,haz_rank_t2,haz_top_t2,y_prob_t3,haz_rank_t3,haz_top_t3,score_t1,rank
651,1072,0.36999997,6567.684656560421,3060.387389242649,2325.7757790386677,False,True,99.75804752283798,2024-04-21 06:00:00,3.8045738,2.0,62.094517,3.5,-0.0498,0.027418122,99.93339040179767,0.06660959820233359,0.029817658,99.93365791022417,0.06634208977583,0.03301527,98.85773901877909,1.1422609812209146,99.84571896231782,1
647,1070,0.32999998,5711.909273117781,2430.7265219390392,2080.8136660456657,False,True,99.61897442889547,2024-04-21 06:00:00,4.032372,2.1,62.65678,2.7,-0.0485,0.029100504,99.95773366861056,0.0422663313894418,0.030884959,99.95987373602269,0.04012626397731367,0.033245433,98.91204322936173,1.0879567706382716,99.788354048753,2
651,1091,0.54,6579.05256280303,2221.720728069544,2101.4110480844975,False,True,99.75854332709446,2024-04-21 06:00:00,3.618485,0.7,63.95302,3.9,-0.0612,0.02271322,99.7886683430528,0.2113316569471948,0.029349953,99.92402760686961,0.07597239313038529,0.03763561,99.59579476753517,0.4042052324648324,99.77360583507362,3
625,1090,0.34,5586.7527320683,2236.9236722290516,1847.7590641975403,False,True,99.59269680330206,2024-04-21 06:00:00,3.9837887,1.4,62.125614,2.8,-0.0146,0.024506617,99.86410571933015,0.1358942806698451,0.028689133,99.90369696645445,0.09630303354555281,0.03393178,99.05462522069445,0.9453747793055527,99.72840126131611,4
657,1064,0.43,7635.496544390917,3636.880559682846,2190.8174156844616,False,True,99.87629683800834,2024-04-21 06:00:00,3.5170004,1.7,70.26618,2.7,-0.0788,0.017953208,99.48611631266385,0.513883687336147,0.020414341,98.57311005296667,1.426889947033331,0.022826826,91.46193355090685,8.53806644909315,99.68120657533609,5
634,1075,0.43,6143.172475546598,2715.80888825655,1977.6595115363598,False,True,99.69532828439333,2024-04-21 06:00:00,3.4431818,2.3,64.07992,1.9,-0.0598,0.019259376,99.60221496977155,0.397785030228448,0.021029713,98.84142100476166,1.1585789952383436,0.023997914,93.02873040500775,6.9712695949922505,99.64877162708244,6
623,1090,0.39,5464.003271073103,2365.6894755661488,1946.8510527014732,False,True,99.56319645004153,2024-04-21 06:00:00,3.7566166,1.1,62.618656,3.3,-0.0351,0.02143003,99.72847894708683,0.2715210529131724,0.025998501,99.76138248354823,0.2386175164517681,0.03198041,98.58113530576213,1.4188646942378682,99.64583769856418,7
639,1109,0.53,4896.873691231012,1932.6211467683315,1581.8096180260181,False,True,99.41619048799534,2024-04-21 06:00:00,4.221567,0.8,62.33558,3.0,-0.0218,0.023877626,99.84136750307636,0.15863249692364434,0.028729923,99.90503450858702,0.09496549141297805,0.03498562,99.24830132149162,0.7516986785083759,99.62877899553584,8
625,1099,0.36,6460.953340113163,2743.3177113234997,2721.0986860096455,False,True,99.74218178663064,2024-04-21 06:00:00,4.2914796,1.4,61.71267,3.7,0.062,0.0182057,99.51099459632978,0.4890054036702196,0.021241724,98.91552083890642,1.0844791610935829,0.025602808,94.8162217109839,5.183778289016104,99.62658819148021,9
649,1054,0.32999998,5943.979496836662,2684.6621926426888,2054.589917510748,False,True,99.66409261623511,2024-04-21 06:00:00,3.9044638,1.5,66.95963,3.0,-0.0393,0.01884923,99.57145150072228,0.4285484992777242,0.02113456,98.8786046760473,1.1213953239526973,0.023812577,92.79359049810068,7.206409501899316,99.61777205847869,10
651,1072,0.36999997,6567.684656560421,3060.387389242649,2325.7757790386677,False,True,99.75804752283798,2024-04-21 07:00:00,3.900487,1.8,62.094517,3.5,-0.0498,0.022927588,99.87132844684608,0.12867155315392154,0.024776295,99.4989567171366,0.5010432828634066,0.027682211,95.41972072120272,4.580279278797278,99.81468798484204,1
647,1070,0.32999998,5711.909273117781,2430.7265219390392,2080.8136660456657,False,True,99.61897442889547,2024-04-21 07:00:00,4.188967,2.0,62.65678,2.7,-0.0485,0.025512708,99.94863838210904,0.0513616178909615,0.02669015,99.71858113530575,0.2814188646942455,0.028711513,96.19068000642021,3.8093199935797912,99.78380640550225,2
625,1090,0.34,5586.7527320683,2236.9236722290516,1847.7590641975403,False,True,99.59269680330206,2024-04-21 07:00:00,3.8704293,1.1,62.125614,2.8,-0.0146,0.019111656,99.54630570862982,0.4536942913701836,0.022375334,98.92167353271628,1.0783264672837163,0.026974188,94.82317693007329,5.176823069926712,99.56950125596595,3
639,1109,0.53,4896.873691231012,1932.6211467683315,1581.8096180260181,False,True,99.41619048799534,2024-04-21 07:00:00,4.314596,0.4,62.33558,3.0,-0.0218,0.020343674,99.68514258199134,0.31485741800865696,0.0245291,99.4593654700123,0.5406345299876989,0.030276243,97.1507677491841,2.849232250815902,99.55066653499334,4
649,1054,0.32999998,5943.979496836662,2684.6621926426888,2054.589917510748,False,True,99.66409261623511,2024-04-21 07:00:00,4.0783978,1.7,66.95963,3.0,-0.0393,0.018143993,99.39462843079558,0.6053715692044221,0.019934256,97.7435664223423,2.2564335776577025,0.022221278,88.63169439837355,11.368305601626446,99.52936052351535,5
651,1091,0.54,6579.05256280303,2221.720728069544,2101.4110480844975,False,True,99.75854332709446,2024-04-21 07:00:00,3.5858874,0.6,63.95302,3.9,-0.0612,0.01761674,99.29886041410305,0.7011395858969536,0.022615073,99.00058851853834,0.9994114814616637,0.029317096,96.59247766304638,3.407522336953619,99.52870187059875,6
637,1057,0.34,5835.252141714096,3036.0301596820354,1799.5791275799274,False,True,99.6435167395912,2024-04-21 07:00:00,4.248975,1.1,66.15449,2.7,-0.0426,0.018117411,99.38927826226525,0.6107217377347496,0.020980788,98.36605853084373,1.6339414691562695,0.024791177,92.56192820073832,7.438071799261678,99.51639750092824,7
631,1084,0.32999998,4352.9888897538185,1802.2053511738777,1454.3512353599072,False,True,99.23001598968727,2024-04-21 07:00:00,3.8218462,2.6,62.570374,2.1000001,-0.0613,0.021551989,99.78759830934675,0.21240169065325176,0.022175036,98.85158632496923,1.148413675030767,0.023956811,91.43304264084318,8.566957359156817,99.50880714951701,8
637,1111,0.71,4759.274997264147,1615.2690139710903,1523.9653856754303,False,True,99.37057649639922,2024-04-21 07:00:00,4.4746795,0.4,62.489197,3.1000001,-0.0247,0.019924356,99.64100369161628,0.3589963083837233,0.023501568,99.24134610240223,0.7586538975977675,0.02853178,96.06040340270718,3.9395965972928195,99.50579009400775,9
642,1052,0.41000003,4777.599588662386,2376.367395669222,1587.763700723648,False,True,99.37751775598993,2024-04-21 07:00:00,4.392121,1.2,65.10546,3.0,-0.0132,0.019814413,99.62789577871703,0.3721042212829673,0.022490501,98.95992723770799,1.040072762292013,0.025971178,93.88502487828366,6.114975121716341,99.50270676735349,10
647,1070,0.32999998,5711.909273117781,2430.7265219390392,2080.8136660456657,False,True,99.61897442889547,2024-04-21 08:00:00,4.4492216,2.1,62.65678,2.7,-0.0485,0.025557784,99.77770049756568,0.22229950243432484,0.026604133,99.21914290300144,0.7808570969985595,0.028519211,94.14317050987107,5.856829490128931,99.69833746323057,1
651,1072,0.36999997,6567.684656560421,3060.387389242649,2325.7757790386677,False,True,99.75804752283798,2024-04-21 08:00:00,4.134137,1.9,62.094517,3.5,-0.0498,0.022694854,99.53935048954042,0.46064951045957514,0.024614748,98.70900433363651,1.2909956663634858,0.027597405,93.21438125300946,6.7856187469905365,99.6486990061892,2
639,1109,0.53,4896.873691231012,1932.6211467683315,1581.8096180260181,False,True,99.41619048799534,2024-04-21 08:00:00,4.879732,1.0,62.33558,3.0,-0.0218,0.025751783,99.79107591889145,0.20892408110854888,0.030487418,99.68246749772618,0.3175325022738207,0.036537163,98.60681611470761,1.3931838852923875,99.6036332034434,3
649,1106,0.36,5207.968091249466,2074.834074050188,1830.7861104011536,False,True,99.49725448392974,2024-04-21 08:00:00,4.4659476,0.7,63.170155,3.2,-0.0595,0.024526257,99.70146059600877,0.2985394039912279,0.03177595,99.76352255096036,0.23647744903963996,0.041001193,99.37938045048419,0.6206195495158084,99.59935753996925,4
637,1111,0.71,4759.274997264147,1615.2690139710903,1523.9653856754303,False,True,99.37057649639922,2024-04-21 08:00:00,5.1158977,0.9,62.489197,3.1000001,-0.0247,0.025609303,99.78331817452249,0.21668182547750803,0.029862253,99.6396661494837,0.36033385051629807,0.03523606,98.23444438499813,1.7655556150018725,99.57694733546086,5
631,1084,0.32999998,4352.9888897538185,1802.2053511738777,1454.3512353599072,False,True,99.23001598968727,2024-04-21 08:00:00,4.4275126,2.6,62.570374,2.1000001,-0.0613,0.02661418,99.8370873682521,0.1629126317479006,0.027370777,99.35129206570006,0.6487079342999351,0.029044019,94.61291530683216,5.387084693167836,99.53355167896969,6
649,1105,0.37,4761.024002969265,1911.120866149664,1578.4014870524406,False,True,99.37255971342513,2024-04-21 08:00:00,4.4611816,0.8,63.129887,3.2,-0.053,0.023950879,99.65250655395646,0.3474934460435435,0.030759484,99.70065807072923,0.2993419292707671,0.03955691,99.19372960248248,0.8062703975175225,99.5125331336908,7
639,1079,0.45999998,3876.3867451250553,1892.1584582030773,1242.409276843071,False,True,99.04161037222504,2024-04-21 08:00:00,4.57756,3.1,63.7652,1.6,-0.0516,0.0273273,99.8734685142582,0.1265314857417934,0.026476799,99.19292707720292,0.8070729227970759,0.026688349,92.1612005778182,7.838799422181793,99.45753944324161,8
653,1094,0.38,5389.598589986563,1919.6643930971622,1848.9281146526337,False,True,99.5455953989365,2024-04-21 08:00:00,2.9316053,0.5,65.446175,3.9,-0.0917,0.021160102,99.33550906853566,0.6644909314643428,0.031087566,99.72179123642395,0.2782087635760462,0.04379966,99.64153870846931,0.35846129153068773,99.44055223373607,9
628,1088,0.63,4727.34795960784,1975.0270572900772,1236.6038755476475,False,True,99.36313943255203,2024-04-21 08:00:00,4.3488636,1.6,61.87659,2.6,-0.0124,0.022399573,99.5096570541972,0.49034294580279436,0.025361175,98.92434861698143,1.0756513830185668,0.030373469,95.68936921513028,4.310630784869716,99.43639824337461,10
626,1098,0.4,5370.82835021615,2411.451792359352,1950.0535779297352,False,True,99.53964574785874,2024-04-21 09:00:00,5.963815,1.6,64.9264,3.7,-0.0186,0.045023065,99.96067626130223,0.0393237386977745,0.053595625,99.97458669948104,0.025413300518962956,0.060624927,99.9272377079878,0.07276229201220019,99.75016100458049,1
624,1097,0.34,5606.813134491444,2513.5689411759377,2011.8353777825832,False,True,99.59715904161037,2024-04-21 09:00:00,5.945632,1.5,65.91305,3.6,-0.0049,0.04063045,99.90048686533626,0.0995131346637379,0.051522784,99.96228131186132,0.037718688138681955,0.060710896,99.92964528382645,0.07035471617355427,99.74882295347331,2
652,1096,0.48,5936.441718995571,2159.6440739929676,2109.68473765254,False,True,99.66285310559391,2024-04-21 09:00:00,4.359425,0.9,65.28154,3.8,-0.0522,0.036384154,99.8127441014392,0.1872558985608066,0.048563443,99.92402760686961,0.07597239313038529,0.0613291,99.93820555347493,0.06179444652507016,99.73779860351655,3
653,1094,0.38,5389.598589986563,1919.6643930971622,1848.9281146526337,False,True,99.5455953989365,2024-04-21 09:00:00,4.2736096,0.8,65.446175,3.9,-0.0917,0.038812574,99.87293349740517,0.127066502594829,0.052336305,99.96682895511209,0.0331710448879079,0.06612614,99.97672676689315,0.023273233106849034,99.70926444817084,4
628,1088,0.63,4727.34795960784,1975.0270572900772,1236.6038755476475,False,True,99.36313943255203,2024-04-21 09:00:00,5.335752,1.7,61.87659,2.6,-0.0124,0.041698057,99.91653737092719,0.08346262907281243,0.04505626,99.83628484297256,0.16371515702743977,0.050299495,99.57412658498743,0.4258734150125747,99.63983840173961,5
635,1067,0.4,5668.147307783365,2752.4436319470406,2124.1530761122704,False,True,99.61079365866355,2024-04-21 09:00:00,5.383833,1.9,66.91779,2.1,-0.0501,0.032998398,99.63244342196779,0.3675565780322074,0.03529037,99.10304424589374,0.8969557541062585,0.03690992,96.10574608100156,3.8942539189984444,99.62161854031567,6
651,1091,0.54,6579.05256280303,2221.720728069544,2101.4110480844975,False,True,99.75854332709446,2024-04-21 09:00:00,5.054698,1.0,63.95302,3.9,-0.0612,0.031204361,99.47809105986839,0.5219089401316097,0.037911307,99.43635974533198,0.5636402546680159,0.045310203,99.01021882189289,0.9897811781071084,99.61831719348143,7
649,1106,0.36,5207.968091249466,2074.834074050188,1830.7861104011536,False,True,99.49725448392974,2024-04-21 09:00:00,4.997881,1.1,63.170155,3.2,-0.0595,0.033989675,99.6982504948906,0.3017495051093988,0.040588822,99.65437911294205,0.34562088705794736,0.04838495,99.41041142795997,0.5895885720400287,99.59775248941017,8
639,1109,0.53,4896.873691231012,1932.6211467683315,1581.8096180260181,False,True,99.41619048799534,2024-04-21 09:00:00,5.5118484,1.4,62.33558,3.0,-0.0218,0.035559908,99.7782355144187,0.22176448558130346,0.03949612,99.57760419453213,0.4223958054678718,0.04398225,98.74057032796533,1.2594296720346705,99.59721300120702,9
647,1070,0.32999998,5711.909273117781,2430.7265219390392,2080.8136660456657,False,True,99.61897442889547,2024-04-21 09:00:00,5.0916667,2.0,62.65678,2.7,-0.0485,0.031988062,99.54791075918892,0.4520892408110768,0.032853216,98.63115938152052,1.3688406184794815,0.034256574,94.31089829329625,5.689101706703752,99.5834425940422,10
651,1072,0.36999997,6567.684656560421,3060.387389242649,2325.7757790386677,False,True,99.75804752283798,2024-04-21 10:00:00,6.0772614,2.3,62.094517,3.5,-0.0498,0.0521109,99.82611952276497,0.17388047723503064,0.052510407,99.60248247819806,0.39751752180194444,0.05172727,98.63811460060991,1.36188539939009,99.79208352280148,1
623,1070,0.3,6581.361149400473,3178.71889641881,2503.2606549263,False,True,99.75928703347918,2024-04-21 10:00:00,6.7505608,1.3,67.265724,1.7,-0.0519,0.05128094,99.79749612112782,0.2025038788721787,0.053052396,99.63378096410037,0.36621903589963267,0.052847367,98.83526831095179,1.1647316890482102,99.7783915773035,2
624,1097,0.34,5606.813134491444,2513.5689411759377,2011.8353777825832,False,True,99.59715904161037,2024-04-21 10:00:00,6.93155,1.7,65.91305,3.6,-0.0049,0.057494104,99.94516077256434,0.054839227435664384,0.05927196,99.8836338344658,0.11636616553420254,0.057698548,99.4296720346691,0.5703279653309039,99.77115990708735,3
626,1098,0.4,5370.82835021615,2411.451792359352,1950.0535779297352,False,True,99.53964574785874,2024-04-21 10:00:00,6.912296,1.8,64.9264,3.7,-0.0186,0.059460424,99.97191161521587,0.028088384784126674,0.059927102,99.8975442726446,0.1024557273554052,0.057336394,99.39783853191375,0.6021614680862513,99.75577868153731,4
651,1091,0.54,6579.05256280303,2221.720728069544,2101.4110480844975,False,True,99.75854332709446,2024-04-21 10:00:00,6.332867,1.1,63.95302,3.9,-0.0612,0.049561683,99.72981648921942,0.27018351078058345,0.05385845,99.68300251457921,0.3169974854207851,0.056918066,99.36118987748114,0.638810122518862,99.74417990815694,5
647,1070,0.32999998,5711.909273117781,2430.7265219390392,2080.8136660456657,False,True,99.61897442889547,2024-04-21 10:00:00,6.285773,2.5,62.65678,2.7,-0.0485,0.05169529,99.81488416885131,0.18511583114869268,0.050358627,99.45107270879032,0.5489272912096794,0.048148386,97.78931036327644,2.210689636723558,99.7169292988734,6
