prow,pcol,P_lgbm,y_prob_t1,y_prob_t2,y_prob_t3,pop_total,pop_male,pop_female,households,houses,coverage,low_count_only,haz_pct_t1,haz_top_t1,haz_pct_t2,haz_top_t2,haz_pct_t3,haz_top_t3,expo_pct,x_5179,y_5179,지명
1168,1449,0.14929149,0.30333135,0.26663437,0.17942628,8045.550359934568,3879.0644152760506,4165.640564113855,3600.2486212551594,2984.1033039093018,1.0,False,97.28233572227113,2.717664277728872,97.71115635750895,2.288843642491045,96.49976506678044,3.5002349332195593,99.90505348488416,1139091.4294307148,1685114.0711620022,부산광역시 부산진구 가야2동
1170,1463,0.1756686,0.33584964,0.29499742,0.2106727,6514.641370415688,3130.781981408596,3383.942210584879,2607.682358920574,2319.2204765081406,1.0,False,98.51803044950556,1.4819695504944406,98.5944512554075,1.405548744592494,98.21720791319892,1.7827920868010807,99.7493709483496,1146091.4294307148,1684114.0711620022,부산광역시 수영구 남천1동
1017,1392,0.01589133,0.2748371,0.23656972,0.1819955,6400.892239332199,3060.653420716524,3340.7527264654636,2588.4786046743393,2514.838878661394,1.0,False,95.71044345670478,4.28955654329522,96.37068681511566,3.6293131848843387,96.69365248246102,3.306347517538981,99.73449682065521,1110591.4294307148,1760614.0711620022,대구광역시 수성구 고산3동
1079,1489,0.1761023,0.3765661,0.32218292,0.24176493,6363.940688550472,3227.874061048031,3135.221246957779,2456.864990502596,2201.362323194742,1.0,False,99.4394007312634,0.5605992687365955,99.24551331558283,0.7544866844171736,99.17557342608245,0.8244265739175489,99.72904297383393,1159091.4294307148,1729614.0711620022,울산광역시 남구 무거동
1085,1501,0.050899845,0.28820005,0.23474966,0.16984747,6303.472924232483,3123.93298381567,3179.1256461441517,2422.601832062006,2337.817532837391,1.0,False,96.52973930513775,3.4702606948622474,96.27239291635837,3.7276070836416295,95.6758785692297,4.324121430770305,99.72210171424322,1165091.4294307148,1726614.0711620022,울산광역시 남구 수암동
1171,1462,0.17035256,0.33233047,0.293288,0.208194,6203.439869433641,3000.878982812166,3202.146592348814,2923.379161685705,2334.0280815064907,1.0,False,98.41379571071349,1.5862042892865134,98.55151518424705,1.4484848157529484,98.11162298348987,1.888377016510134,99.70425276100995,1145591.4294307148,1683614.0711620022,부산광역시 남구 대연3동
1011,1365,0.17133455,0.40408987,0.36095512,0.280737,6124.167909413576,2900.70812484622,3221.459784567356,2700.02471858263,2418.9331451654434,1.0,False,99.84634827364589,0.15365172635411284,99.97569656349408,0.024303436505917375,99.9346507596174,0.06534924038260215,99.69260136098268,1097091.4294307148,1763614.0711620022,대구광역시 중구 대신동
1017,1389,0.042088453,0.3326954,0.28712294,0.21959169,6067.762564241886,2905.0008103251457,3160.7617539167404,2399.867081016302,2156.442574799061,1.0,False,98.42473225714116,1.5752677428588413,98.3805810141554,1.6194189858446038,98.54746461149605,1.4525353885039465,99.68367688436605,1109091.4294307148,1760614.0711620022,대구광역시 수성구 고산1동
1085,1500,0.05371999,0.29858348,0.24780647,0.18015091,6061.564327418804,3045.857392758131,3018.706934660673,2232.997973203659,2195.520241200924,1.0,False,97.06522502281823,2.9347749771817746,96.93857711480403,3.0614228851959666,96.55890342894486,3.441096571055141,99.68119786308365,1164591.4294307148,1726614.0711620022,울산광역시 남구 수암동
1012,1365,0.060744673,0.34182817,0.30478856,0.2328422,5964.204671114683,2793.513270199299,3170.0506893098354,2762.126046180725,2347.2384484112263,1.0,False,98.6897747341474,1.3102252658525941,98.84990737690309,1.15009262309691,98.94874135202718,1.0512586479728157,99.66706744177398,1097091.4294307148,1763114.0711620022,대구광역시 중구 남산4동
1151,1419,0.058969803,0.3117273,0.26399496,0.19800425,5885.430739849806,2770.4100089371204,3114.175350368023,2702.675377547741,2521.5571064054966,1.0,False,97.65660864446232,2.343391355537676,97.61529280240227,2.3847071975977343,97.65282810989474,2.3471718901052583,99.65368072684903,1124091.4294307148,1693614.0711620022,경상남도 김해시 내외동
1161,1464,0.119433716,0.31487375,0.27590623,0.19499186,5667.956453949213,2688.4850899875164,2979.9852718114853,2355.327982991934,2144.802026182413,1.0,False,97.78325655247652,2.216743447523484,98.04384339945669,1.9561566005433093,97.48999508530505,2.510004914694946,99.61054575653532,1146591.4294307148,1688614.0711620022,부산광역시 연제구 연산9동
1163,1457,0.08717274,0.29907697,0.2534528,0.18419102,5635.845648556948,2536.8282885551453,3097.4484462738037,3119.7828868329525,2089.023200750351,1.0,False,97.08844830659055,2.91155169340945,97.1967336181336,2.8032663818663934,96.84757424699852,3.1524257530014808,99.60310869268812,1143091.4294307148,1687614.0711620022,부산광역시 부산진구 양정2동
950,1337,0.024490869,0.27176455,0.22428715,0.17018482,5611.269031256437,2850.0869323015213,2761.6681911051273,2199.103331297636,1965.4640188515186,1.0,False,95.49738333000286,4.502616669997138,95.60350833607872,4.396491663921282,95.70558276940359,4.294417230596409,99.59815065012333,1083091.4294307148,1794114.0711620022,경상북도 구미시 양포동
1008,1367,0.022210382,0.26688722,0.22865386,0.17448603,5589.8403196930885,2758.6583926081657,2833.0273076295853,2376.9784152805805,2050.451517432928,1.0,False,95.14066288973261,4.85933711026739,95.90514098693555,4.09485901306445,96.09551790623195,3.9044820937680527,99.59344050968677,1098091.4294307148,1765114.0711620022,대구광역시 중구 성내3동
1021,1377,0.03225985,0.26957482,0.22528897,0.16769733,5571.329466342926,2632.242313593626,2938.01535487175,2589.958617657423,2434.377198636532,1.0,False,95.34562187093255,4.654378129067453,95.67560853104628,4.324391468953721,95.45228695337521,4.547713046624793,99.58922617350669,1103091.4294307148,1758614.0711620022,대구광역시 수성구 범물2동
1158,1464,0.12565206,0.3253001,0.28755823,0.21128717,5566.9176978468895,2657.208134651184,2908.6377653181553,2331.5038200318813,2141.0133131742477,1.0,False,98.17967260570644,1.8203273942935567,98.39327280877515,1.6067271912248486,98.24448176972224,1.755518230277758,99.58773876073727,1146591.4294307148,1690114.0711620022,부산광역시 동래구 안락2동
1167,1451,0.11797445,0.30204296,0.26298332,0.18057661,5520.14718824625,2642.7068669199944,2875.440321326256,2451.8548803925514,2194.3346105217934,1.0,False,97.22157713100631,2.7784228689936867,97.5739769603422,2.4260230396578066,96.58833759093535,3.411662409064647,99.57732687135119,1140091.4294307148,1685614.0711620022,부산광역시 부산진구 가야1동
1128,1474,0.12463335,0.3078122,0.2704588,0.19014435,5470.206733107567,2647.218054205179,2821.9168810248375,1914.6821459531784,1908.676670640707,1.0,False,97.49026512348846,2.509734876511544,97.8499559837761,2.1500440162239016,97.23129850560869,2.7687014943913084,99.56542756919569,1151591.4294307148,1705114.0711620022,부산광역시 기장군 정관읍
1077,1499,0.031497613,0.272879,0.22298244,0.16383481,5456.07965144515,2701.8762159645557,2754.7173433303833,2354.9075362980366,2041.0835213959217,1.0,False,95.5805550904898,4.419444909510204,95.50953504825583,4.490464951744173,95.02805696725517,4.971943032744832,99.5624527436568,1164091.4294307148,1730614.0711620022,울산광역시 중구 우정동
