prow,pcol,forest_ratio,pop_total,households,houses,low_count_only,is_wui,expo_rank,T,vpd,wind,hum4d,prcp4d,ndmi,y_prob_t1,haz_rank_t1,haz_top_t1,y_prob_t2,haz_rank_t2,haz_top_t2,y_prob_t3,haz_rank_t3,haz_top_t3,score_t1,rank
590,1413,0.32999998,2679.8878031671047,1080.6384255290031,1013.7016701102257,False,True,98.38838826431325,2024-02-14 06:00:00,8.40049,3.2,45.826885,0.0,0.1095,0.092779994,99.76111654503048,0.23888345496952468,0.0693476,99.65712565968377,0.34287434031622865,0.051496048,99.25406021260359,0.7459397873964093,99.07475240467187,1
642,1052,0.41000003,4777.599588662386,2376.367395669222,1587.763700723648,False,True,99.37751775598993,2024-02-14 06:00:00,3.774371,0.6,65.40733,0.0,-0.0738,0.04523861,98.6384449197631,1.3615550802368972,0.0548272,99.13555897116201,0.8644410288379873,0.06120814,99.82936896073605,0.1706310392639523,99.00798133787652,2
655,1069,0.35,5027.369714438915,2369.5636563897133,1679.910683810711,False,True,99.45213629659011,2024-02-14 06:00:00,3.4714768,0.7,65.231674,0.0,-0.0957,0.039630536,98.35388071412449,1.646119285875514,0.048505094,98.79886496770102,1.2011350322989784,0.055213597,99.53486247406946,0.4651375259305439,98.90300850535729,3
649,1075,0.32999998,8619.628509998322,3024.809305727482,2568.0619483590126,False,True,99.94372621688957,2024-02-14 06:00:00,3.237685,0.2,64.51441,0.0,-0.0039,0.03207844,97.66571364080957,2.334286359190429,0.042471,98.32190418865613,1.6780958113438658,0.050865546,99.19386910583961,0.8061308941603897,98.80471992884958,4
623,1090,0.39,5464.003271073103,2365.6894755661488,1946.8510527014732,False,True,99.56319645004153,2024-02-14 06:00:00,2.9209697,0.0,63.57168,0.0,-0.0458,0.03464381,97.97473048357105,2.025269516428949,0.04856417,98.80208949127767,1.1979105087223303,0.061180107,99.8285628298419,0.17143717015810012,98.7689634668063,5
594,1413,0.48,1606.813626229763,873.8311601579189,533.6061462461948,False,True,97.54130669211796,2024-02-14 06:00:00,8.296293,3.6,45.825806,0.0,0.5175,0.13838305,99.98280254092458,0.01719745907541892,0.103798255,99.97769704526156,0.022302954738435687,0.07166755,99.95566280082117,0.044337199178826836,98.76205461652127,6
595,1412,0.61,1536.3876849114895,345.6652123630047,277.67762726545334,False,True,97.46396122810714,2024-02-14 06:00:00,8.239355,3.7,45.429424,0.0,0.5591,0.117239915,99.94491438889904,0.05508561110096366,0.08816024,99.93147887399637,0.06852112600363114,0.060689315,99.81217150166063,0.1878284983393712,98.70443780850309,7
650,1072,0.54,7364.659270584583,3316.2385507822037,2652.726648837328,False,True,99.8522503315691,2024-02-14 06:00:00,3.1909156,0.1,64.494125,0.0,-0.0698,0.030580442,97.41715661511012,2.582843384889884,0.041040257,98.1765319174092,1.823468082590793,0.05019814,99.12212345625933,0.877876543740669,98.63470347333961,8
586,1419,0.31,1335.0633665919304,708.3954892754555,612.1539258956909,False,True,97.25026959356447,2024-02-14 06:00:00,8.619632,2.5,46.367184,0.0,0.0796,0.13360208,99.97904059675183,0.02095940324817036,0.10387198,99.97850317615573,0.02149682384427365,0.07768697,99.97366639079075,0.02633360920924588,98.61465509515816,9
642,1455,0.52,2088.049348473549,1045.0031283795834,977.1622088551521,False,True,97.9691857654598,2024-02-14 06:00:00,6.638391,0.7,45.18589,0.0,0.1847,0.06317804,99.20246783537733,0.7975321646226661,0.059706483,99.33306104023131,0.6669389597686859,0.060302287,99.80088566914237,0.19911433085762553,98.58582680041857,10
