T,top1pct_인구,top5pct_인구,wui_top5pct_격자,top10_인구,top10_평균위험상위%,max_prob,mean_prob,발화건수,발화_위험상위%
2023-03-08 06:00:00,414986.95962032676,603578.2462088168,2186,17492.832203894854,0.349,0.4695284366607666,0.029867766425013542,0,
2023-03-08 07:00:00,383397.4229276478,632728.1247548163,2213,17915.273120582104,0.454,0.476247102022171,0.03181721642613411,2,"전남 화순 백아(2.0ha,t+3h)=27.4%; 대구 동 nan(0.3ha,t+3h)=0.1%"
2023-03-08 08:00:00,387801.32409721613,701498.7983348072,2566,17939.579234987497,0.465,0.4836445748806,0.034333836287260056,2,"전남 화순 백아(2.0ha,t+2h)=29.2%; 대구 동 nan(0.3ha,t+2h)=0.0%"
2023-03-08 09:00:00,390316.05096668005,1382705.3273324966,3731,18372.8186416924,0.691,0.4972270429134369,0.04436549171805382,2,"전남 화순 백아(2.0ha,t+1h)=34.7%; 대구 동 nan(0.3ha,t+1h)=0.0%"
2023-03-08 10:00:00,834843.421633333,4338464.492768422,5153,21598.066086888313,0.565,0.4973801076412201,0.08397660404443741,1,"충남 부여 옥산(2.0ha,t+3h)=18.6%"
2023-03-08 11:00:00,992543.4234199226,3635402.612895012,6890,23032.454015791416,0.373,0.5160238742828369,0.1508380025625229,4,"충남 부여 옥산(2.0ha,t+2h)=7.8%; 대구 북 nan(0.03ha,t+3h)=18.4%; 경남 합천 용주(163.0ha,t+3h)=9.7%; 경기 평택 안중(0.15ha,t+3h)=62.1%"
2023-03-08 12:00:00,838073.6055843532,3080514.3430215716,7478,22734.716358989477,0.331,0.5208155512809753,0.17807084321975708,4,"충남 부여 옥산(2.0ha,t+1h)=8.1%; 대구 북 nan(0.03ha,t+2h)=13.3%; 경남 합천 용주(163.0ha,t+2h)=6.2%; 경기 평택 안중(0.15ha,t+2h)=75.5%"
2023-03-08 13:00:00,747587.6601231098,2801928.645670384,8026,23104.612304240465,0.322,0.5101046562194824,0.16901709139347076,3,"대구 북 nan(0.03ha,t+1h)=37.5%; 경남 합천 용주(163.0ha,t+1h)=11.9%; 경기 평택 안중(0.15ha,t+1h)=63.4%"
2023-03-08 14:00:00,710453.3827959597,2748236.1469735205,7961,25098.902900666,0.29,0.49701181054115295,0.14381256699562073,0,
2023-03-08 15:00:00,657015.6015990376,2443453.5972961187,7875,23896.938711881638,0.359,0.4819456934928894,0.118581622838974,0,
2023-03-08 16:00:00,641459.2218742669,2440692.358499199,7461,21079.628684341908,0.372,0.47246721386909485,0.09748250246047974,0,
2023-03-08 17:00:00,621950.7854200006,2357812.5440381765,7239,21004.640013098717,0.342,0.4696267247200012,0.07951395213603973,0,
2023-03-08 18:00:00,687237.415561974,2586836.2363999337,7279,22760.332824230194,0.304,0.4612797200679779,0.05945730209350586,0,
